id,task,job_role,complexity,task_type,creativity,human_interaction,time_taken,frequency,skill_level,Associated_Skills,Tools,Technologies,risk,tokenized_tasks
18,Manage database operations,DevOps Engineer,Medium,Managerial,High,Moderate,<1 hour,Daily,Intermediate,"Docker, Python, Agile","VS Code, Slack, Tableau",AI,Medium Risk,['Manage database operations']
19,Design APIs,Full Stack Developer,Medium,Creative,High,Moderate,<1 hour,Monthly,Advanced,"SQL, Git, Agile, JavaScript",MongoDB,DevOps,Medium Risk,['Design APIs']
20,Train and fine-tune models,QA Engineer,High,Managerial,Moderate,,Half-day,Weekly,Beginner,"Node.js, Python, JavaScript, React","Jira, VS Code, MySQL","Big Data, Web Development",Medium Risk,['Train and fine-tune models']
21,Develop user interfaces,Machine Learning Engineer,Medium,Creative,Low,High,Full-day,Daily,Beginner,"Git, Docker, Node.js, React","AWS, Postman, MySQL","Web Development, Cloud Computing, DevOps",Medium Risk,['Develop user interfaces']
22,Train and fine-tune models,Backend Developer,High,Creative,Moderate,Moderate,Full-day,Weekly,Beginner,"JavaScript, Agile, TensorFlow, SQL, Python",Postman,"AI, DevOps, Big Data",Medium Risk,['Train and fine-tune models']
23,Perform code reviews,Machine Learning Engineer,Medium,Creative,Moderate,Moderate,<1 hour,Monthly,Intermediate,"JavaScript, Python, SQL, Git, Node.js",Slack,"Web Development, AI, Cloud Computing",Medium Risk,['Perform code reviews']
24,Automate infrastructure,DevOps Engineer,High,Managerial,Low,Moderate,1-3 hours,Daily,Advanced,"TensorFlow, Git, JavaScript, Agile",MySQL,DevOps,Medium Risk,['Automate infrastructure']
25,Monitor system performance,Frontend Developer,Low,Managerial,High,Moderate,Full-day,Monthly,Beginner,"Docker, SQL, JavaScript, React, Agile","MongoDB, Postman","Cloud Computing, AI, Big Data",Medium Risk,['Monitor system performance']
26,Manage database operations,Data Scientist,Low,Managerial,Low,Moderate,Half-day,Monthly,Beginner,"Docker, Python","Jira, MySQL, Tableau","DevOps, AI, Big Data",Medium Risk,['Manage database operations']
27,Optimize algorithms,Data Scientist,High,Managerial,Moderate,,1-3 hours,Daily,Beginner,"Agile, JavaScript",MongoDB,"DevOps, AI, Big Data",Medium Risk,['Optimize algorithms']
28,Optimize algorithms,Frontend Developer,Medium,Technical,High,High,<1 hour,Weekly,Beginner,"Node.js, Docker","Jira, Slack","DevOps, Big Data, Cloud Computing",Medium Risk,['Optimize algorithms']
29,Optimize algorithms,Full Stack Developer,Medium,Managerial,Low,Moderate,Full-day,Monthly,Intermediate,"Git, Python, Docker, Agile, React",MySQL,Web Development,Medium Risk,['Optimize algorithms']
30,Design APIs,Backend Developer,High,Creative,High,,1-3 hours,Weekly,Beginner,"JavaScript, Python","MongoDB, Tableau, AWS","Big Data, AI",Medium Risk,['Design APIs']
31,Write and execute test cases,Full Stack Developer,Medium,Managerial,High,,Half-day,Daily,Intermediate,"JavaScript, React, Node.js, TensorFlow, Agile","Postman, MongoDB, VS Code",Big Data,Medium Risk,['Write and execute test cases']
32,Develop user interfaces,Machine Learning Engineer,High,Technical,Low,High,Full-day,Occasionally,Intermediate,"JavaScript, Agile, TensorFlow, React, Python","Tableau, AWS",Web Development,Medium Risk,['Develop user interfaces']
33,Automate infrastructure,Product Manager,High,Technical,Moderate,,Half-day,Daily,Beginner,"JavaScript, Agile",VS Code,"Big Data, AI, DevOps",Medium Risk,['Automate infrastructure']
34,Conduct user research,Software Engineer,Low,Technical,Low,Moderate,<1 hour,Weekly,Intermediate,"JavaScript, TensorFlow, SQL, React, Git","VS Code, Slack","Cloud Computing, Big Data, AI",Medium Risk,['Conduct user research']
35,Write and debug code,DevOps Engineer,High,Creative,Moderate,Moderate,<1 hour,Weekly,Intermediate,"Docker, React, Git, JavaScript","MySQL, Slack",AI,Medium Risk,['Write and debug code']
36,Monitor system performance,QA Engineer,Low,Creative,Moderate,Moderate,Half-day,Monthly,Beginner,"Agile, Node.js",AWS,AI,Medium Risk,['Monitor system performance']
37,Optimize algorithms,DevOps Engineer,Medium,Technical,Moderate,Low,Full-day,Occasionally,Advanced,"SQL, Agile, Docker",Jira,"Web Development, Cloud Computing, AI",Medium Risk,['Optimize algorithms']
38,Monitor system performance,Backend Developer,High,Managerial,Low,High,Full-day,Monthly,Beginner,"JavaScript, Python","Tableau, MongoDB","Web Development, DevOps, Big Data",Medium Risk,['Monitor system performance']
39,Write and debug code,Backend Developer,Low,Technical,Low,Low,<1 hour,Daily,Beginner,"Node.js, Python","Jira, Slack",DevOps,High Risk,['Write and debug code']
40,Write and debug code,Full Stack Developer,Low,Managerial,High,High,Half-day,Monthly,Advanced,"JavaScript, Docker",Tableau,Cloud Computing,Medium Risk,['Write and debug code']
41,Develop user interfaces,UI/UX Designer,Medium,Technical,Moderate,Moderate,Half-day,Monthly,Advanced,"JavaScript, Git, Python, Docker","VS Code, AWS","DevOps, AI, Web Development",Medium Risk,['Develop user interfaces']
42,Design wireframes and prototypes,Backend Developer,High,Managerial,Moderate,Low,1-3 hours,Weekly,Beginner,"SQL, JavaScript, Git",MySQL,Big Data,Medium Risk,['Design wireframes and prototypes']
43,Conduct user research,Machine Learning Engineer,Medium,Technical,Low,Moderate,<1 hour,Occasionally,Advanced,"JavaScript, TensorFlow, Agile","Tableau, MySQL","Cloud Computing, AI, Big Data",Medium Risk,['Conduct user research']
44,Train and fine-tune models,Software Engineer,Medium,Managerial,Moderate,Moderate,<1 hour,Occasionally,Intermediate,"Agile, SQL",MySQL,AI,Medium Risk,['Train and fine-tune models']
45,Write and debug code,Software Engineer,Medium,Creative,Low,,<1 hour,Occasionally,Advanced,"Agile, React, JavaScript, TensorFlow","Jira, VS Code, Slack",Cloud Computing,Medium Risk,['Write and debug code']
46,Monitor system performance,Frontend Developer,Medium,Technical,High,Low,1-3 hours,Monthly,Beginner,"Git, Python",Postman,Big Data,Medium Risk,['Monitor system performance']
47,Design APIs,DevOps Engineer,Low,Technical,Moderate,Moderate,<1 hour,Monthly,Beginner,"Git, JavaScript, React, TensorFlow","Slack, MySQL","Web Development, AI",Medium Risk,['Design APIs']
48,Manage database operations,UI/UX Designer,High,Technical,Low,High,1-3 hours,Monthly,Intermediate,"React, Git, Node.js","VS Code, Tableau","Web Development, AI",Medium Risk,['Manage database operations']
49,Perform code reviews,Frontend Developer,Low,Creative,Low,High,Half-day,Daily,Beginner,"Node.js, Docker","AWS, Jira, Tableau",DevOps,Medium Risk,['Perform code reviews']
50,Write and execute test cases,UI/UX Designer,Low,Managerial,Low,Low,Half-day,Daily,Advanced,"Python, Docker, React, Agile, TensorFlow","Tableau, Jira","Big Data, Cloud Computing",High Risk,['Write and execute test cases']
51,Build predictive models,QA Engineer,Low,Technical,Moderate,,1-3 hours,Daily,Beginner,"Git, Node.js","Tableau, AWS","DevOps, Web Development, Cloud Computing",Medium Risk,['Build predictive models']
52,Test applications end-to-end,UI/UX Designer,Low,Managerial,Low,Moderate,1-3 hours,Monthly,Intermediate,"Git, JavaScript","Postman, Jira, Tableau","Big Data, AI, Cloud Computing",Medium Risk,['Test applications end-to-end']
53,Train and fine-tune models,QA Engineer,Medium,Managerial,Low,Low,1-3 hours,Weekly,Intermediate,"SQL, TensorFlow, Docker, React","Jira, MySQL","DevOps, Web Development",Medium Risk,['Train and fine-tune models']
54,Design APIs,UI/UX Designer,High,Technical,Moderate,Moderate,<1 hour,Daily,Beginner,"JavaScript, Node.js, Git",Tableau,Cloud Computing,Medium Risk,['Design APIs']
55,Design APIs,Product Manager,High,Technical,Moderate,,<1 hour,Weekly,Advanced,"Python, SQL, Docker","Postman, Tableau",DevOps,Medium Risk,['Design APIs']
56,Build predictive models,QA Engineer,High,Technical,Moderate,,Full-day,Weekly,Beginner,"SQL, Python, TensorFlow, Node.js, Git","VS Code, Jira","AI, Big Data, DevOps",Medium Risk,['Build predictive models']
57,Monitor system performance,Machine Learning Engineer,Medium,Managerial,High,High,1-3 hours,Occasionally,Advanced,"Python, Docker",MongoDB,DevOps,Medium Risk,['Monitor system performance']
58,Perform code reviews,UI/UX Designer,High,Technical,Moderate,High,1-3 hours,Weekly,Intermediate,"Node.js, Python","Postman, Jira, MongoDB","DevOps, AI",Medium Risk,['Perform code reviews']
59,Test applications end-to-end,Data Scientist,High,Creative,Low,Low,Half-day,Occasionally,Beginner,"SQL, Node.js, Python, Git",VS Code,"AI, Big Data",Medium Risk,['Test applications end-to-end']
60,Design wireframes and prototypes,QA Engineer,Medium,Creative,Low,,<1 hour,Weekly,Intermediate,"Node.js, React, TensorFlow",Tableau,"DevOps, AI, Big Data",Medium Risk,['Design wireframes and prototypes']
61,Write and execute test cases,Product Manager,High,Managerial,Moderate,Low,Half-day,Weekly,Intermediate,"Node.js, Agile, Docker, SQL, Python","VS Code, Slack","Web Development, AI",Medium Risk,['Write and execute test cases']
62,Conduct user research,QA Engineer,Medium,Managerial,Moderate,Moderate,Half-day,Daily,Advanced,"Docker, Node.js, Git","Jira, AWS, Slack",Big Data,Medium Risk,['Conduct user research']
63,Conduct user research,Full Stack Developer,Low,Technical,High,,Full-day,Weekly,Beginner,"JavaScript, Node.js, Git, Python","Jira, Tableau, Postman","Cloud Computing, Big Data",Medium Risk,['Conduct user research']
64,Analyze and clean data,UI/UX Designer,High,Technical,Low,Low,1-3 hours,Daily,Advanced,"React, SQL, JavaScript","MySQL, Jira","Web Development, DevOps, Big Data",Medium Risk,['Analyze and clean data']
65,Monitor system performance,QA Engineer,Low,Creative,High,Low,Full-day,Weekly,Beginner,"Node.js, TensorFlow","Slack, Postman",Big Data,High Risk,['Monitor system performance']
66,Automate infrastructure,Backend Developer,Low,Creative,Moderate,,Half-day,Weekly,Beginner,"Docker, Agile, TensorFlow, React, Node.js","Tableau, VS Code, Postman","Big Data, DevOps, Web Development",Medium Risk,['Automate infrastructure']
67,Manage database operations,Data Scientist,High,Creative,Low,High,<1 hour,Weekly,Beginner,"JavaScript, Docker, React, Node.js, Agile","Postman, MySQL, VS Code","Big Data, AI, DevOps",Low Risk,['Manage database operations']
68,Write and debug code,Backend Developer,High,Creative,Moderate,,Full-day,Monthly,Advanced,"JavaScript, Git","VS Code, Postman, Tableau",Big Data,Medium Risk,['Write and debug code']
69,Develop user interfaces,UI/UX Designer,High,Technical,High,,<1 hour,Occasionally,Intermediate,"SQL, Git",VS Code,"AI, Big Data, Cloud Computing",Medium Risk,['Develop user interfaces']
70,Build predictive models,QA Engineer,Medium,Managerial,Moderate,,Full-day,Monthly,Advanced,"JavaScript, Node.js, Git, TensorFlow, SQL",Slack,"Big Data, DevOps",Medium Risk,['Build predictive models']
71,Design APIs,Data Scientist,Medium,Creative,Low,,1-3 hours,Monthly,Beginner,"Node.js, JavaScript, TensorFlow","VS Code, AWS, Tableau","Big Data, Web Development, Cloud Computing",Medium Risk,['Design APIs']
72,Design wireframes and prototypes,Backend Developer,Low,Technical,Low,Moderate,Half-day,Monthly,Advanced,"Docker, SQL, Node.js","Jira, VS Code, AWS",DevOps,Medium Risk,['Design wireframes and prototypes']
73,Develop user interfaces,QA Engineer,Low,Creative,Low,,Full-day,Occasionally,Intermediate,"Git, Agile","Tableau, Slack","Web Development, Cloud Computing, AI",Medium Risk,['Develop user interfaces']
74,Build predictive models,Software Engineer,Medium,Technical,Low,High,Half-day,Occasionally,Intermediate,"Agile, JavaScript, TensorFlow, SQL","Slack, Jira, MongoDB","Cloud Computing, DevOps, Big Data",Medium Risk,['Build predictive models']
75,Write and execute test cases,Machine Learning Engineer,Low,Technical,Moderate,Moderate,Half-day,Occasionally,Beginner,"Docker, Node.js, JavaScript","AWS, MySQL, MongoDB","Big Data, Cloud Computing, DevOps",Medium Risk,['Write and execute test cases']
76,Perform code reviews,UI/UX Designer,Medium,Creative,Moderate,,Half-day,Daily,Advanced,"React, Python, Git, TensorFlow, Docker","VS Code, MongoDB","Web Development, DevOps",Medium Risk,['Perform code reviews']
77,Conduct user research,Backend Developer,Low,Technical,Low,High,1-3 hours,Daily,Advanced,"Python, Agile, Docker","Postman, AWS, MongoDB","Big Data, AI",Medium Risk,['Conduct user research']
78,Automate infrastructure,Machine Learning Engineer,Low,Technical,Low,Low,1-3 hours,Weekly,Advanced,"TensorFlow, SQL","AWS, MySQL","Big Data, Web Development, AI",High Risk,['Automate infrastructure']
79,Design APIs,Data Scientist,Medium,Creative,Moderate,,1-3 hours,Daily,Intermediate,"TensorFlow, SQL, Python",Slack,Web Development,Medium Risk,['Design APIs']
80,Build predictive models,Frontend Developer,Medium,Technical,Moderate,Low,Full-day,Monthly,Intermediate,"Docker, React","Jira, Tableau, AWS",Cloud Computing,Medium Risk,['Build predictive models']
81,Perform code reviews,Full Stack Developer,Low,Creative,Moderate,High,1-3 hours,Daily,Beginner,"Docker, JavaScript, Agile, Node.js, Git",VS Code,"AI, Web Development, Big Data",Medium Risk,['Perform code reviews']
82,Conduct user research,Frontend Developer,Low,Technical,High,Low,<1 hour,Monthly,Intermediate,"Git, JavaScript, TensorFlow, Node.js","AWS, VS Code, Postman","Big Data, Web Development",High Risk,['Conduct user research']
83,Design wireframes and prototypes,Machine Learning Engineer,Medium,Technical,Moderate,,1-3 hours,Weekly,Beginner,"Python, Agile","Postman, Jira, Slack","DevOps, Cloud Computing",Medium Risk,['Design wireframes and prototypes']
84,Build predictive models,Software Engineer,Low,Managerial,Low,Low,<1 hour,Monthly,Advanced,"Python, Agile, Docker","AWS, Postman","Big Data, AI, Web Development",High Risk,['Build predictive models']
85,Train and fine-tune models,UI/UX Designer,Low,Managerial,Moderate,Moderate,Half-day,Occasionally,Beginner,"Docker, JavaScript, Python, Git",MySQL,AI,Medium Risk,['Train and fine-tune models']
86,Manage database operations,UI/UX Designer,High,Creative,Moderate,High,<1 hour,Occasionally,Advanced,"Agile, Git, JavaScript, Python",Tableau,AI,Low Risk,['Manage database operations']
87,Analyze and clean data,QA Engineer,Medium,Managerial,Low,,<1 hour,Occasionally,Intermediate,"TensorFlow, React, Git, JavaScript, Node.js","AWS, Slack, Jira","Big Data, Cloud Computing, AI",Medium Risk,['Analyze and clean data']
88,Write and execute test cases,Frontend Developer,Low,Managerial,High,High,1-3 hours,Weekly,Intermediate,"Node.js, Python, JavaScript",Jira,Big Data,Medium Risk,['Write and execute test cases']
89,Automate infrastructure,Machine Learning Engineer,Medium,Technical,Low,,<1 hour,Monthly,Beginner,"Docker, JavaScript","MySQL, MongoDB, AWS","Cloud Computing, Web Development",Medium Risk,['Automate infrastructure']
90,Automate infrastructure,UI/UX Designer,High,Creative,High,,<1 hour,Weekly,Intermediate,"React, Python, Docker, JavaScript",AWS,"DevOps, Cloud Computing, Big Data",Medium Risk,['Automate infrastructure']
91,Design APIs,Software Engineer,High,Creative,Moderate,Low,<1 hour,Weekly,Advanced,"JavaScript, Docker, React, Python, Agile","MySQL, AWS","DevOps, Cloud Computing",Medium Risk,['Design APIs']
92,Optimize algorithms,DevOps Engineer,High,Managerial,Moderate,High,Half-day,Daily,Intermediate,"Agile, SQL, JavaScript, Docker","AWS, MongoDB, Jira",Web Development,Medium Risk,['Optimize algorithms']
93,Perform code reviews,Software Engineer,Low,Managerial,High,Low,Full-day,Monthly,Advanced,"TensorFlow, Node.js, Agile, JavaScript","AWS, MongoDB, Slack","Web Development, Big Data",High Risk,['Perform code reviews']
94,Manage database operations,Data Scientist,High,Technical,High,Moderate,<1 hour,Occasionally,Beginner,"Python, Docker, JavaScript, Git","Tableau, MySQL",Big Data,Medium Risk,['Manage database operations']
95,Monitor system performance,QA Engineer,High,Managerial,Low,,1-3 hours,Weekly,Intermediate,"SQL, Git, Docker","Tableau, MySQL, MongoDB",Cloud Computing,Medium Risk,['Monitor system performance']
96,Develop user interfaces,Software Engineer,High,Managerial,Moderate,High,<1 hour,Monthly,Advanced,"Node.js, SQL","AWS, MongoDB, Slack","Web Development, Cloud Computing",Medium Risk,['Develop user interfaces']
97,Design APIs,DevOps Engineer,High,Technical,High,Low,Half-day,Weekly,Advanced,"JavaScript, Agile, Node.js","Tableau, AWS",AI,Medium Risk,['Design APIs']
98,Write and debug code,Backend Developer,Medium,Technical,High,High,1-3 hours,Weekly,Intermediate,"Python, Docker, TensorFlow, React, Node.js",MySQL,"Cloud Computing, DevOps, Big Data",Medium Risk,['Write and debug code']
99,Train and fine-tune models,Product Manager,High,Managerial,Moderate,Low,<1 hour,Weekly,Beginner,"Git, SQL, TensorFlow, Docker",MongoDB,DevOps,Medium Risk,['Train and fine-tune models']
100,Write and execute test cases,QA Engineer,Medium,Technical,Low,High,1-3 hours,Occasionally,Intermediate,"SQL, Node.js, React","Jira, AWS","DevOps, AI",Medium Risk,['Write and execute test cases']
101,Manage database operations,Software Engineer,Low,Managerial,Moderate,,<1 hour,Monthly,Intermediate,"Agile, TensorFlow","Postman, MongoDB","AI, DevOps",Medium Risk,['Manage database operations']
102,Develop user interfaces,Backend Developer,High,Managerial,Moderate,High,1-3 hours,Monthly,Beginner,"Git, Docker, React","Postman, AWS","Web Development, AI",Medium Risk,['Develop user interfaces']
103,Develop user interfaces,Software Engineer,Low,Managerial,Moderate,,Half-day,Daily,Advanced,"Python, Git, TensorFlow, SQL",VS Code,"AI, Big Data",Medium Risk,['Develop user interfaces']
104,Build predictive models,Data Scientist,Medium,Technical,Low,,1-3 hours,Weekly,Advanced,"JavaScript, React, Git, Python","MySQL, Jira, AWS","Cloud Computing, DevOps",Medium Risk,['Build predictive models']
105,Design wireframes and prototypes,Backend Developer,Medium,Technical,Moderate,,1-3 hours,Daily,Beginner,"Git, TensorFlow",MongoDB,"Web Development, DevOps, AI",Medium Risk,['Design wireframes and prototypes']
106,Test applications end-to-end,UI/UX Designer,Low,Technical,High,,<1 hour,Weekly,Advanced,"Python, JavaScript, Git",MySQL,Web Development,Medium Risk,['Test applications end-to-end']
107,Build predictive models,Frontend Developer,Medium,Technical,Low,High,Half-day,Weekly,Beginner,"SQL, React","Slack, Postman, MongoDB","DevOps, AI",Medium Risk,['Build predictive models']
108,Conduct user research,Full Stack Developer,High,Creative,High,High,Full-day,Monthly,Beginner,"Git, TensorFlow, React, Node.js, Docker","Postman, MongoDB, VS Code","Cloud Computing, AI, Web Development",Low Risk,['Conduct user research']
109,Monitor system performance,Software Engineer,Low,Technical,High,Low,Full-day,Monthly,Beginner,"TensorFlow, Python, SQL","AWS, Slack, VS Code","Big Data, AI, Cloud Computing",High Risk,['Monitor system performance']
110,Write and debug code,Backend Developer,Medium,Technical,Low,High,Full-day,Daily,Beginner,"Python, Node.js, Git, React, Docker",VS Code,"Web Development, Big Data, AI",Medium Risk,['Write and debug code']
111,Automate infrastructure,Backend Developer,High,Managerial,Moderate,,Half-day,Daily,Intermediate,"React, Python","VS Code, MySQL","AI, DevOps, Web Development",Medium Risk,['Automate infrastructure']
112,Train and fine-tune models,DevOps Engineer,Medium,Managerial,High,Low,<1 hour,Weekly,Advanced,"SQL, TensorFlow, JavaScript, React, Docker",VS Code,"Web Development, Big Data",Medium Risk,['Train and fine-tune models']
113,Design APIs,DevOps Engineer,Medium,Creative,Low,Low,Half-day,Monthly,Beginner,"SQL, JavaScript, Node.js, Agile, Python",AWS,"Web Development, DevOps, AI",Medium Risk,['Design APIs']
114,Conduct user research,Machine Learning Engineer,Low,Creative,High,Moderate,Full-day,Daily,Beginner,"Git, Node.js, Python",MongoDB,"AI, DevOps",Medium Risk,['Conduct user research']
115,Design APIs,Backend Developer,Medium,Technical,High,Moderate,Half-day,Occasionally,Intermediate,"React, Git, JavaScript","VS Code, Postman, MySQL","AI, DevOps, Big Data",Medium Risk,['Design APIs']
116,Optimize algorithms,Product Manager,Low,Technical,High,,Full-day,Occasionally,Advanced,"SQL, React, Docker, Agile, Git","MongoDB, Postman",Web Development,Medium Risk,['Optimize algorithms']
117,Define product roadmaps,Software Engineer,High,Technical,High,High,<1 hour,Weekly,Intermediate,"React, JavaScript, SQL, Git, Docker",Slack,DevOps,Medium Risk,['Define product roadmaps']
118,Manage database operations,Frontend Developer,Medium,Creative,High,,<1 hour,Occasionally,Advanced,"Docker, TensorFlow","Postman, Jira, MySQL",AI,Medium Risk,['Manage database operations']
119,Monitor system performance,Frontend Developer,Medium,Technical,High,High,1-3 hours,Occasionally,Advanced,"Git, Docker, React, Agile, Python","Tableau, Jira, AWS","DevOps, AI, Cloud Computing",Medium Risk,['Monitor system performance']
120,Design wireframes and prototypes,DevOps Engineer,Low,Technical,Moderate,High,Full-day,Daily,Intermediate,"JavaScript, React, Docker",Jira,"Cloud Computing, DevOps",Medium Risk,['Design wireframes and prototypes']
121,Analyze and clean data,UI/UX Designer,Low,Technical,Moderate,Low,Full-day,Monthly,Beginner,"JavaScript, Docker, React, Node.js",Postman,"AI, Cloud Computing",High Risk,['Analyze and clean data']
122,Perform code reviews,Data Scientist,Low,Managerial,High,High,1-3 hours,Monthly,Beginner,"TensorFlow, Docker, Python, Agile, SQL",MongoDB,"Web Development, Cloud Computing, DevOps",Medium Risk,['Perform code reviews']
123,Write and debug code,Software Engineer,Low,Technical,High,,Half-day,Occasionally,Beginner,"Git, JavaScript, Python, Node.js",MongoDB,"Web Development, DevOps, AI",Medium Risk,['Write and debug code']
124,Write and debug code,QA Engineer,Low,Creative,Moderate,High,Half-day,Daily,Intermediate,"TensorFlow, JavaScript, Agile, SQL",Postman,Big Data,Medium Risk,['Write and debug code']
125,Perform code reviews,Machine Learning Engineer,Low,Managerial,Moderate,Moderate,<1 hour,Occasionally,Intermediate,"Node.js, SQL, JavaScript","MongoDB, AWS, Jira","Web Development, Big Data, Cloud Computing",Medium Risk,['Perform code reviews']
126,Write and execute test cases,Full Stack Developer,Medium,Creative,Low,High,1-3 hours,Occasionally,Beginner,"JavaScript, Docker, React","Tableau, AWS","DevOps, Cloud Computing, Web Development",Medium Risk,['Write and execute test cases']
127,Conduct user research,Software Engineer,High,Technical,Low,Moderate,<1 hour,Weekly,Advanced,"TensorFlow, Agile","Slack, Jira","DevOps, AI",Medium Risk,['Conduct user research']
128,Design wireframes and prototypes,Frontend Developer,Low,Managerial,Low,Low,<1 hour,Daily,Intermediate,"React, Git, Node.js, Python, Agile",Postman,DevOps,High Risk,['Design wireframes and prototypes']
129,Analyze and clean data,Backend Developer,Low,Creative,Moderate,,1-3 hours,Daily,Advanced,"Node.js, SQL, React, JavaScript, Docker","Slack, MongoDB, Postman","DevOps, Cloud Computing",Medium Risk,['Analyze and clean data']
130,Analyze and clean data,Machine Learning Engineer,Low,Technical,Moderate,Low,Full-day,Monthly,Advanced,"Node.js, Docker, JavaScript, Python","Slack, Postman","AI, Big Data",High Risk,['Analyze and clean data']
131,Design APIs,Machine Learning Engineer,High,Technical,Moderate,Moderate,Half-day,Monthly,Advanced,"React, Python, Node.js, Docker","Slack, Jira",Web Development,Medium Risk,['Design APIs']
132,Automate infrastructure,Full Stack Developer,High,Managerial,High,High,1-3 hours,Daily,Intermediate,"Node.js, Git, TensorFlow",VS Code,DevOps,Medium Risk,['Automate infrastructure']
133,Develop user interfaces,Machine Learning Engineer,Medium,Managerial,Low,Low,<1 hour,Weekly,Beginner,"Python, Docker",MongoDB,"Cloud Computing, Web Development, AI",Medium Risk,['Develop user interfaces']
134,Build predictive models,Full Stack Developer,High,Technical,Low,Moderate,1-3 hours,Daily,Beginner,"SQL, Python, Git, Docker, JavaScript","Slack, AWS, MongoDB","Big Data, Web Development",Medium Risk,['Build predictive models']
135,Test applications end-to-end,Machine Learning Engineer,Medium,Creative,Moderate,,Half-day,Monthly,Beginner,"Node.js, Docker","Tableau, Jira",AI,Medium Risk,['Test applications end-to-end']
136,Train and fine-tune models,Data Scientist,Medium,Managerial,High,Low,Full-day,Occasionally,Advanced,"Agile, SQL, TensorFlow","Jira, VS Code, Tableau","Web Development, Cloud Computing, DevOps",Medium Risk,['Train and fine-tune models']
137,Design APIs,Software Engineer,Low,Creative,High,Low,1-3 hours,Weekly,Intermediate,"JavaScript, TensorFlow, SQL","VS Code, Slack","Web Development, Big Data, AI",High Risk,['Design APIs']
