User_ID,Skill_Level,Learning_Pace,Career_Goal,Preferred_Medium,Available_Time,Course_Title,Course_Provider,Skill_Taught,Difficulty_Level,Medium,Duration
165,2,2,Full Stack Developer,Online,29,AWS Foundations,Coursera,Cloud Computing,2,Online,11
166,2,1,Data Scientist,Offline,6,SQL Bootcamp,Udemy,SQL,2,Offline,35
167,1,2,AI Researcher,Online,5,SQL Bootcamp,Udemy,SQL,1,Online,13
168,3,2,Backend Developer,Online,10,System Design Advanced,Udemy,System Design,3,Online,11
169,1,3,Cloud Engineer,Online,25,Full Stack Masterclass,edX,Full Stack Development,3,Online,29
170,3,1,Software Architect,Online,20,JavaScript Essentials,Udemy,JavaScript,3,Online,40
171,3,2,Frontend Developer,Online,18,DevOps Bootcamp,Coursera,DevOps,1,Online,13
172,2,1,Cloud Engineer,Online,11,Machine Learning for Beginners,edX,Machine Learning,2,Online,32
173,1,3,AI Researcher,Online,16,JavaScript Essentials,Coursera,JavaScript,2,Online,7
174,1,3,Software Architect,Offline,13,AWS Foundations,Coursera,Cloud Computing,1,Offline,37
175,3,3,Data Scientist,Offline,9,Full Stack Masterclass,Udemy,Full Stack Development,1,Offline,40
176,3,2,Data Scientist,Offline,13,System Design Advanced,Udemy,System Design,1,Offline,29
177,2,3,AI Researcher,Offline,22,DevOps Bootcamp,edX,DevOps,2,Offline,31
178,3,2,Backend Developer,Online,27,Machine Learning for Beginners,Udemy,Machine Learning,2,Online,27
179,3,2,Full Stack Developer,Offline,15,SQL Bootcamp,edX,SQL,3,Offline,21
180,1,1,AI Researcher,Offline,17,SQL Bootcamp,edX,SQL,3,Offline,10
181,1,2,Machine Learning,Offline,9,System Design Advanced,Coursera,System Design,3,Offline,13
182,3,2,Machine Learning,Offline,9,DevOps Bootcamp,Udemy,DevOps,2,Offline,32
183,3,3,AI Researcher,Offline,22,Machine Learning for Beginners,Udemy,Machine Learning,1,Offline,26
184,2,3,DevOps Specialist,Online,20,Full Stack Masterclass,edX,Full Stack Development,1,Online,19
185,2,3,Cloud Engineer,Offline,24,Deep Learning Advanced,Coursera,Deep Learning,2,Offline,15
186,2,3,Backend Developer,Offline,15,Deep Learning Advanced,Coursera,Deep Learning,2,Offline,14
187,3,3,Frontend Developer,Online,24,AWS Foundations,Coursera,Cloud Computing,1,Online,31
188,1,2,Frontend Developer,Offline,5,AWS Foundations,edX,Cloud Computing,1,Offline,21
189,2,2,Data Scientist,Online,11,Intro to AI Concepts,Udemy,Artificial Intelligence,2,Online,9
190,1,1,Frontend Developer,Offline,22,SQL Bootcamp,edX,SQL,3,Offline,24
191,2,2,DevOps Specialist,Offline,24,Full Stack Masterclass,edX,Full Stack Development,1,Offline,36
192,1,1,Software Architect,Online,14,Full Stack Masterclass,Coursera,Full Stack Development,2,Online,22
193,1,3,Cloud Engineer,Offline,8,DevOps Bootcamp,edX,DevOps,2,Offline,19
194,2,1,Software Architect,Online,28,AWS Foundations,Coursera,Cloud Computing,2,Online,37
195,2,3,Full Stack Developer,Offline,25,Deep Learning Advanced,Udemy,Deep Learning,3,Offline,8
196,1,1,Backend Developer,Offline,27,AWS Foundations,Udemy,Cloud Computing,2,Offline,14
197,1,2,DevOps Specialist,Online,21,DevOps Bootcamp,Udemy,DevOps,1,Online,16
198,3,1,Software Architect,Offline,19,System Design Advanced,Udemy,System Design,2,Offline,33
199,1,2,Cloud Engineer,Offline,5,System Design Advanced,edX,System Design,1,Offline,18
200,3,3,Backend Developer,Online,29,System Design Advanced,edX,System Design,3,Online,32
201,1,3,Frontend Developer,Online,29,Machine Learning for Beginners,edX,Machine Learning,1,Online,35
202,2,1,Machine Learning,Online,15,SQL Bootcamp,edX,SQL,3,Online,11
203,3,1,Machine Learning,Online,21,DevOps Bootcamp,Udemy,DevOps,1,Online,24
204,2,1,DevOps Specialist,Offline,6,Full Stack Masterclass,Udemy,Full Stack Development,1,Offline,14
205,3,2,AI Researcher,Online,30,Full Stack Masterclass,edX,Full Stack Development,1,Online,17
206,2,1,Data Scientist,Online,15,AWS Foundations,Udemy,Cloud Computing,2,Online,18
207,1,3,Cloud Engineer,Offline,25,System Design Advanced,edX,System Design,2,Offline,35
208,2,3,Full Stack Developer,Offline,19,AWS Foundations,Coursera,Cloud Computing,3,Offline,31
209,1,2,Cloud Engineer,Offline,10,Full Stack Masterclass,edX,Full Stack Development,2,Offline,24
210,3,1,Data Scientist,Online,17,SQL Bootcamp,Udemy,SQL,3,Online,10
211,3,3,Backend Developer,Online,14,Intro to AI Concepts,edX,Artificial Intelligence,2,Online,16
212,3,3,Full Stack Developer,Online,25,Intro to AI Concepts,edX,Artificial Intelligence,1,Online,37
213,2,2,DevOps Specialist,Online,5,System Design Advanced,edX,System Design,3,Online,27
214,2,2,Frontend Developer,Offline,5,Intro to AI Concepts,Udemy,Artificial Intelligence,3,Offline,31
215,2,3,Frontend Developer,Online,14,Full Stack Masterclass,Udemy,Full Stack Development,1,Online,18
216,3,1,DevOps Specialist,Offline,19,Full Stack Masterclass,edX,Full Stack Development,2,Offline,34
217,1,2,Full Stack Developer,Offline,18,Full Stack Masterclass,Coursera,Full Stack Development,1,Offline,9
218,3,1,Cloud Engineer,Offline,16,Intro to AI Concepts,Coursera,Artificial Intelligence,3,Offline,39
219,1,1,AI Researcher,Offline,26,JavaScript Essentials,edX,JavaScript,3,Offline,30
220,3,2,Cloud Engineer,Online,28,System Design Advanced,Coursera,System Design,1,Online,9
221,2,3,Machine Learning,Online,8,Deep Learning Advanced,Coursera,Deep Learning,1,Online,16
222,1,1,Backend Developer,Offline,10,Intro to AI Concepts,Coursera,Artificial Intelligence,1,Offline,33
223,1,3,Machine Learning,Offline,7,AWS Foundations,edX,Cloud Computing,3,Offline,23
224,2,1,Data Scientist,Offline,8,Deep Learning Advanced,Coursera,Deep Learning,1,Offline,6
225,1,3,AI Researcher,Online,24,SQL Bootcamp,Coursera,SQL,2,Online,39
226,1,3,Software Architect,Online,29,Full Stack Masterclass,Udemy,Full Stack Development,1,Online,10
227,2,1,DevOps Specialist,Offline,13,AWS Foundations,edX,Cloud Computing,1,Offline,14
228,3,1,Backend Developer,Online,23,JavaScript Essentials,Udemy,JavaScript,3,Online,34
229,2,3,AI Researcher,Online,28,Intro to AI Concepts,edX,Artificial Intelligence,3,Online,21
230,3,1,Software Architect,Online,30,Machine Learning for Beginners,Coursera,Machine Learning,1,Online,18
231,1,3,AI Researcher,Offline,27,Intro to AI Concepts,Udemy,Artificial Intelligence,1,Offline,39
232,2,3,Data Scientist,Online,13,DevOps Bootcamp,Udemy,DevOps,3,Online,11
233,1,1,Cloud Engineer,Online,8,JavaScript Essentials,Udemy,JavaScript,2,Online,32
234,2,1,Backend Developer,Online,26,Deep Learning Advanced,Coursera,Deep Learning,2,Online,17
235,2,1,Full Stack Developer,Offline,7,SQL Bootcamp,edX,SQL,2,Offline,37
236,1,1,Cloud Engineer,Offline,8,AWS Foundations,edX,Cloud Computing,3,Offline,20
237,3,1,Software Architect,Online,30,AWS Foundations,Coursera,Cloud Computing,2,Online,26
238,1,1,Data Scientist,Online,27,Full Stack Masterclass,edX,Full Stack Development,3,Online,28
239,2,1,Frontend Developer,Offline,21,DevOps Bootcamp,edX,DevOps,3,Offline,27
240,1,3,Backend Developer,Online,10,Machine Learning for Beginners,Coursera,Machine Learning,3,Online,9
241,1,3,Software Architect,Offline,20,AWS Foundations,Udemy,Cloud Computing,2,Offline,38
242,3,1,DevOps Specialist,Offline,23,Machine Learning for Beginners,Coursera,Machine Learning,1,Offline,6
243,3,1,Frontend Developer,Online,14,Full Stack Masterclass,Coursera,Full Stack Development,1,Online,40
244,3,3,AI Researcher,Offline,10,SQL Bootcamp,Coursera,SQL,1,Offline,40
245,1,2,Full Stack Developer,Online,21,Deep Learning Advanced,edX,Deep Learning,1,Online,36
246,3,1,Frontend Developer,Online,7,Deep Learning Advanced,Coursera,Deep Learning,1,Online,12
247,3,2,Software Architect,Online,11,Intro to AI Concepts,Udemy,Artificial Intelligence,1,Online,31
248,3,1,Cloud Engineer,Online,10,JavaScript Essentials,Coursera,JavaScript,1,Online,20
249,3,1,AI Researcher,Online,10,System Design Advanced,Coursera,System Design,1,Online,14
250,3,2,DevOps Specialist,Offline,23,Machine Learning for Beginners,Coursera,Machine Learning,3,Offline,16
251,1,2,Data Scientist,Offline,9,JavaScript Essentials,Coursera,JavaScript,1,Offline,22
252,2,2,Software Architect,Offline,27,Machine Learning for Beginners,Udemy,Machine Learning,2,Offline,23
253,2,2,Full Stack Developer,Offline,24,Machine Learning for Beginners,edX,Machine Learning,3,Offline,36
254,1,2,Machine Learning,Online,23,AWS Foundations,Udemy,Cloud Computing,1,Online,19
255,2,3,Machine Learning,Offline,17,DevOps Bootcamp,edX,DevOps,2,Offline,33
256,3,2,Machine Learning,Online,26,Intro to AI Concepts,Udemy,Artificial Intelligence,3,Online,30
257,2,1,Cloud Engineer,Online,5,DevOps Bootcamp,edX,DevOps,2,Online,5
258,1,2,Machine Learning,Online,21,DevOps Bootcamp,Udemy,DevOps,2,Online,25
259,3,2,Full Stack Developer,Online,23,Intro to AI Concepts,Coursera,Artificial Intelligence,2,Online,36
260,1,3,Backend Developer,Online,23,Machine Learning for Beginners,Udemy,Machine Learning,2,Online,30
261,1,1,Cloud Engineer,Offline,17,AWS Foundations,edX,Cloud Computing,2,Offline,9
262,3,2,Software Architect,Online,25,AWS Foundations,Udemy,Cloud Computing,2,Online,28
263,2,3,Machine Learning,Offline,21,Deep Learning Advanced,edX,Deep Learning,1,Offline,15
264,2,1,Backend Developer,Online,19,JavaScript Essentials,edX,JavaScript,2,Online,34
265,2,3,Full Stack Developer,Offline,5,Intro to AI Concepts,edX,Artificial Intelligence,2,Offline,13
266,2,3,Software Architect,Online,17,DevOps Bootcamp,Udemy,DevOps,3,Online,34
267,1,3,Data Scientist,Offline,14,Full Stack Masterclass,Udemy,Full Stack Development,1,Offline,26
268,2,3,Full Stack Developer,Offline,27,SQL Bootcamp,Coursera,SQL,3,Offline,37
269,2,2,Full Stack Developer,Online,11,Deep Learning Advanced,Coursera,Deep Learning,2,Online,26
270,3,1,AI Researcher,Online,27,SQL Bootcamp,Udemy,SQL,2,Online,7
271,3,2,Cloud Engineer,Offline,17,Full Stack Masterclass,Udemy,Full Stack Development,1,Offline,39
272,2,2,Cloud Engineer,Online,21,Deep Learning Advanced,Udemy,Deep Learning,3,Online,36
273,3,1,Backend Developer,Offline,5,Full Stack Masterclass,Coursera,Full Stack Development,2,Offline,14
274,3,2,AI Researcher,Online,11,Full Stack Masterclass,edX,Full Stack Development,2,Online,35
275,1,1,Full Stack Developer,Online,26,Intro to AI Concepts,edX,Artificial Intelligence,3,Online,11
276,3,2,Backend Developer,Online,21,System Design Advanced,Coursera,System Design,1,Online,17
277,2,3,Data Scientist,Online,12,Full Stack Masterclass,edX,Full Stack Development,1,Online,33
278,3,2,DevOps Specialist,Offline,10,Machine Learning for Beginners,edX,Machine Learning,1,Offline,20
279,1,3,Cloud Engineer,Online,24,Full Stack Masterclass,Udemy,Full Stack Development,3,Online,16
280,3,1,DevOps Specialist,Offline,25,System Design Advanced,edX,System Design,3,Offline,18
281,3,3,AI Researcher,Online,16,AWS Foundations,Udemy,Cloud Computing,3,Online,26
282,2,3,Backend Developer,Offline,13,DevOps Bootcamp,edX,DevOps,3,Offline,9
283,3,1,Full Stack Developer,Offline,7,SQL Bootcamp,Udemy,SQL,3,Offline,40
284,1,1,Backend Developer,Offline,23,System Design Advanced,Udemy,System Design,2,Offline,11
285,1,1,Data Scientist,Offline,20,Full Stack Masterclass,Coursera,Full Stack Development,2,Offline,14
286,2,3,Backend Developer,Offline,23,Deep Learning Advanced,Coursera,Deep Learning,1,Offline,6
287,3,1,Frontend Developer,Offline,26,SQL Bootcamp,Udemy,SQL,1,Offline,5
288,2,3,Cloud Engineer,Offline,10,System Design Advanced,Coursera,System Design,3,Offline,37
289,2,3,Data Scientist,Offline,10,AWS Foundations,Coursera,Cloud Computing,2,Offline,7
290,2,2,Backend Developer,Online,26,Deep Learning Advanced,edX,Deep Learning,3,Online,17
291,3,2,Full Stack Developer,Online,18,System Design Advanced,Coursera,System Design,2,Online,17
292,1,1,DevOps Specialist,Offline,6,Intro to AI Concepts,Coursera,Artificial Intelligence,2,Offline,29
293,3,3,DevOps Specialist,Online,17,JavaScript Essentials,Coursera,JavaScript,2,Online,7
294,3,1,AI Researcher,Online,10,Intro to AI Concepts,Coursera,Artificial Intelligence,2,Online,10
295,1,3,AI Researcher,Online,24,Full Stack Masterclass,edX,Full Stack Development,1,Online,28
296,3,1,Frontend Developer,Offline,17,Intro to AI Concepts,Coursera,Artificial Intelligence,2,Offline,35
297,3,3,Machine Learning,Offline,16,SQL Bootcamp,edX,SQL,3,Offline,9
298,3,1,DevOps Specialist,Online,23,SQL Bootcamp,edX,SQL,2,Online,12
