id,task,job_role,complexity,task_type,creativity,human_interaction,time_taken,frequency,skill_level,Associated_Skills,Tools,Technologies
88,Write and execute test cases,Frontend Developer,Low,Managerial,High,High,1-3 hours,Weekly,Intermediate,"Node.js, Python, JavaScript",Jira,Big Data
89,Automate infrastructure,Machine Learning Engineer,Medium,Technical,Low,None,<1 hour,Monthly,Beginner,"Docker, JavaScript","MySQL, MongoDB, AWS","Cloud Computing, Web Development"
90,Automate infrastructure,UI/UX Designer,High,Creative,High,None,<1 hour,Weekly,Intermediate,"React, Python, Docker, JavaScript",AWS,"DevOps, Cloud Computing, Big Data"
91,Design APIs,Software Engineer,High,Creative,Moderate,Low,<1 hour,Weekly,Advanced,"JavaScript, Docker, React, Python, Agile","MySQL, AWS","DevOps, Cloud Computing"
92,Optimize algorithms,DevOps Engineer,High,Managerial,Moderate,High,Half-day,Daily,Intermediate,"Agile, SQL, JavaScript, Docker","AWS, MongoDB, Jira",Web Development
93,Perform code reviews,Software Engineer,Low,Managerial,High,Low,Full-day,Monthly,Advanced,"TensorFlow, Node.js, Agile, JavaScript","AWS, MongoDB, Slack","Web Development, Big Data"
94,Manage database operations,Data Scientist,High,Technical,High,Moderate,<1 hour,Occasionally,Beginner,"Python, Docker, JavaScript, Git","Tableau, MySQL",Big Data
95,Monitor system performance,QA Engineer,High,Managerial,Low,None,1-3 hours,Weekly,Intermediate,"SQL, Git, Docker","Tableau, MySQL, MongoDB",Cloud Computing
96,Develop user interfaces,Software Engineer,High,Managerial,Moderate,High,<1 hour,Monthly,Advanced,"Node.js, SQL","AWS, MongoDB, Slack","Web Development, Cloud Computing"
97,Design APIs,DevOps Engineer,High,Technical,High,Low,Half-day,Weekly,Advanced,"JavaScript, Agile, Node.js","Tableau, AWS",AI
98,Write and debug code,Backend Developer,Medium,Technical,High,High,1-3 hours,Weekly,Intermediate,"Python, Docker, TensorFlow, React, Node.js",MySQL,"Cloud Computing, DevOps, Big Data"
99,Train and fine-tune models,Product Manager,High,Managerial,Moderate,Low,<1 hour,Weekly,Beginner,"Git, SQL, TensorFlow, Docker",MongoDB,DevOps
100,Write and execute test cases,QA Engineer,Medium,Technical,Low,High,1-3 hours,Occasionally,Intermediate,"SQL, Node.js, React","Jira, AWS","DevOps, AI"
101,Manage database operations,Software Engineer,Low,Managerial,Moderate,None,<1 hour,Monthly,Intermediate,"Agile, TensorFlow","Postman, MongoDB","AI, DevOps"
102,Develop user interfaces,Backend Developer,High,Managerial,Moderate,High,1-3 hours,Monthly,Beginner,"Git, Docker, React","Postman, AWS","Web Development, AI"
103,Develop user interfaces,Software Engineer,Low,Managerial,Moderate,None,Half-day,Daily,Advanced,"Python, Git, TensorFlow, SQL",VS Code,"AI, Big Data"
104,Build predictive models,Data Scientist,Medium,Technical,Low,None,1-3 hours,Weekly,Advanced,"JavaScript, React, Git, Python","MySQL, Jira, AWS","Cloud Computing, DevOps"
105,Design wireframes and prototypes,Backend Developer,Medium,Technical,Moderate,None,1-3 hours,Daily,Beginner,"Git, TensorFlow",MongoDB,"Web Development, DevOps, AI"
106,Test applications end-to-end,UI/UX Designer,Low,Technical,High,None,<1 hour,Weekly,Advanced,"Python, JavaScript, Git",MySQL,Web Development
107,Build predictive models,Frontend Developer,Medium,Technical,Low,High,Half-day,Weekly,Beginner,"SQL, React","Slack, Postman, MongoDB","DevOps, AI"
108,Conduct user research,Full Stack Developer,High,Creative,High,High,Full-day,Monthly,Beginner,"Git, TensorFlow, React, Node.js, Docker","Postman, MongoDB, VS Code","Cloud Computing, AI, Web Development"
109,Monitor system performance,Software Engineer,Low,Technical,High,Low,Full-day,Monthly,Beginner,"TensorFlow, Python, SQL","AWS, Slack, VS Code","Big Data, AI, Cloud Computing"
110,Write and debug code,Backend Developer,Medium,Technical,Low,High,Full-day,Daily,Beginner,"Python, Node.js, Git, React, Docker",VS Code,"Web Development, Big Data, AI"
111,Automate infrastructure,Backend Developer,High,Managerial,Moderate,None,Half-day,Daily,Intermediate,"React, Python","VS Code, MySQL","AI, DevOps, Web Development"
112,Train and fine-tune models,DevOps Engineer,Medium,Managerial,High,Low,<1 hour,Weekly,Advanced,"SQL, TensorFlow, JavaScript, React, Docker",VS Code,"Web Development, Big Data"
113,Design APIs,DevOps Engineer,Medium,Creative,Low,Low,Half-day,Monthly,Beginner,"SQL, JavaScript, Node.js, Agile, Python",AWS,"Web Development, DevOps, AI"
114,Conduct user research,Machine Learning Engineer,Low,Creative,High,Moderate,Full-day,Daily,Beginner,"Git, Node.js, Python",MongoDB,"AI, DevOps"
115,Design APIs,Backend Developer,Medium,Technical,High,Moderate,Half-day,Occasionally,Intermediate,"React, Git, JavaScript","VS Code, Postman, MySQL","AI, DevOps, Big Data"
116,Optimize algorithms,Product Manager,Low,Technical,High,None,Full-day,Occasionally,Advanced,"SQL, React, Docker, Agile, Git","MongoDB, Postman",Web Development
117,Define product roadmaps,Software Engineer,High,Technical,High,High,<1 hour,Weekly,Intermediate,"React, JavaScript, SQL, Git, Docker",Slack,DevOps
118,Manage database operations,Frontend Developer,Medium,Creative,High,None,<1 hour,Occasionally,Advanced,"Docker, TensorFlow","Postman, Jira, MySQL",AI
119,Monitor system performance,Frontend Developer,Medium,Technical,High,High,1-3 hours,Occasionally,Advanced,"Git, Docker, React, Agile, Python","Tableau, Jira, AWS","DevOps, AI, Cloud Computing"
120,Design wireframes and prototypes,DevOps Engineer,Low,Technical,Moderate,High,Full-day,Daily,Intermediate,"JavaScript, React, Docker",Jira,"Cloud Computing, DevOps"
121,Analyze and clean data,UI/UX Designer,Low,Technical,Moderate,Low,Full-day,Monthly,Beginner,"JavaScript, Docker, React, Node.js",Postman,"AI, Cloud Computing"
122,Perform code reviews,Data Scientist,Low,Managerial,High,High,1-3 hours,Monthly,Beginner,"TensorFlow, Docker, Python, Agile, SQL",MongoDB,"Web Development, Cloud Computing, DevOps"
123,Write and debug code,Software Engineer,Low,Technical,High,None,Half-day,Occasionally,Beginner,"Git, JavaScript, Python, Node.js",MongoDB,"Web Development, DevOps, AI"
124,Write and debug code,QA Engineer,Low,Creative,Moderate,High,Half-day,Daily,Intermediate,"TensorFlow, JavaScript, Agile, SQL",Postman,Big Data
125,Perform code reviews,Machine Learning Engineer,Low,Managerial,Moderate,Moderate,<1 hour,Occasionally,Intermediate,"Node.js, SQL, JavaScript","MongoDB, AWS, Jira","Web Development, Big Data, Cloud Computing"
126,Write and execute test cases,Full Stack Developer,Medium,Creative,Low,High,1-3 hours,Occasionally,Beginner,"JavaScript, Docker, React","Tableau, AWS","DevOps, Cloud Computing, Web Development"
127,Conduct user research,Software Engineer,High,Technical,Low,Moderate,<1 hour,Weekly,Advanced,"TensorFlow, Agile","Slack, Jira","DevOps, AI"
128,Design wireframes and prototypes,Frontend Developer,Low,Managerial,Low,Low,<1 hour,Daily,Intermediate,"React, Git, Node.js, Python, Agile",Postman,DevOps
129,Analyze and clean data,Backend Developer,Low,Creative,Moderate,None,1-3 hours,Daily,Advanced,"Node.js, SQL, React, JavaScript, Docker","Slack, MongoDB, Postman","DevOps, Cloud Computing"
130,Analyze and clean data,Machine Learning Engineer,Low,Technical,Moderate,Low,Full-day,Monthly,Advanced,"Node.js, Docker, JavaScript, Python","Slack, Postman","AI, Big Data"
131,Design APIs,Machine Learning Engineer,High,Technical,Moderate,Moderate,Half-day,Monthly,Advanced,"React, Python, Node.js, Docker","Slack, Jira",Web Development
132,Automate infrastructure,Full Stack Developer,High,Managerial,High,High,1-3 hours,Daily,Intermediate,"Node.js, Git, TensorFlow",VS Code,DevOps
133,Develop user interfaces,Machine Learning Engineer,Medium,Managerial,Low,Low,<1 hour,Weekly,Beginner,"Python, Docker",MongoDB,"Cloud Computing, Web Development, AI"
134,Build predictive models,Full Stack Developer,High,Technical,Low,Moderate,1-3 hours,Daily,Beginner,"SQL, Python, Git, Docker, JavaScript","Slack, AWS, MongoDB","Big Data, Web Development"
135,Test applications end-to-end,Machine Learning Engineer,Medium,Creative,Moderate,None,Half-day,Monthly,Beginner,"Node.js, Docker","Tableau, Jira",AI
136,Train and fine-tune models,Data Scientist,Medium,Managerial,High,Low,Full-day,Occasionally,Advanced,"Agile, SQL, TensorFlow","Jira, VS Code, Tableau","Web Development, Cloud Computing, DevOps"
137,Design APIs,Software Engineer,Low,Creative,High,Low,1-3 hours,Weekly,Intermediate,"JavaScript, TensorFlow, SQL","VS Code, Slack","Web Development, Big Data, AI"
138,Conduct user research,Frontend Developer,Medium,Managerial,Low,Moderate,1-3 hours,Weekly,Beginner,"Git, Python, React","VS Code, MySQL","Web Development, DevOps, Cloud Computing"
139,Write and execute test cases,Frontend Developer,High,Managerial,Moderate,Moderate,Half-day,Monthly,Intermediate,"Python, TensorFlow, JavaScript, Agile, SQL","AWS, Postman, MongoDB","Cloud Computing, AI"
140,Write and debug code,Machine Learning Engineer,High,Creative,Moderate,High,1-3 hours,Monthly,Intermediate,"Node.js, SQL, Agile, Git, React","MongoDB, Postman, AWS","Cloud Computing, Web Development, DevOps"
141,Optimize algorithms,Frontend Developer,Medium,Creative,High,High,1-3 hours,Occasionally,Advanced,"TensorFlow, Docker, Agile, JavaScript, SQL","Slack, Tableau, MongoDB","Big Data, DevOps"
142,Write and execute test cases,Software Engineer,Low,Technical,Moderate,None,Half-day,Daily,Advanced,"Git, Docker, JavaScript","Postman, Jira, MySQL","Big Data, Cloud Computing"
143,Analyze and clean data,Frontend Developer,High,Managerial,High,High,1-3 hours,Monthly,Intermediate,"React, Agile, Node.js, Git, TensorFlow",MongoDB,"Big Data, Web Development"
144,Define product roadmaps,Data Scientist,Low,Managerial,Moderate,High,Half-day,Monthly,Advanced,"Agile, JavaScript, React, TensorFlow","AWS, Postman","Big Data, DevOps"
145,Write and debug code,Frontend Developer,Low,Managerial,High,Low,Half-day,Daily,Intermediate,"Git, React","Postman, AWS, VS Code","AI, Cloud Computing"
146,Build predictive models,Frontend Developer,Medium,Creative,High,Low,<1 hour,Weekly,Advanced,"React, Git, Python","Jira, AWS, VS Code","Cloud Computing, DevOps, Big Data"
147,Automate infrastructure,Frontend Developer,Medium,Technical,Moderate,Low,1-3 hours,Daily,Intermediate,"Node.js, Git","MySQL, VS Code","Cloud Computing, DevOps"
148,Analyze and clean data,Full Stack Developer,Low,Technical,Low,Moderate,1-3 hours,Monthly,Intermediate,"Docker, TensorFlow, SQL, Python","MySQL, Tableau, MongoDB",Cloud Computing
149,Build predictive models,Data Scientist,High,Managerial,Low,High,<1 hour,Weekly,Intermediate,"React, TensorFlow","Jira, MySQL",Cloud Computing
150,Manage database operations,Data Scientist,High,Creative,Moderate,None,<1 hour,Occasionally,Advanced,"JavaScript, Git","VS Code, Postman","DevOps, Cloud Computing"
151,Manage database operations,Data Scientist,Low,Creative,Low,High,<1 hour,Weekly,Advanced,"Agile, Python, Git, React","Jira, Tableau","Cloud Computing, Big Data"
152,Write and execute test cases,Full Stack Developer,Medium,Creative,High,Moderate,<1 hour,Weekly,Intermediate,"JavaScript, React",MongoDB,"DevOps, Cloud Computing"
153,Test applications end-to-end,Data Scientist,High,Technical,High,Moderate,Half-day,Weekly,Advanced,"Agile, JavaScript, Git, TensorFlow, SQL",MongoDB,"DevOps, Cloud Computing"
154,Manage database operations,Data Scientist,Low,Technical,High,Low,1-3 hours,Daily,Beginner,"Agile, Python",Tableau,"Big Data, Web Development, DevOps"
155,Write and debug code,Frontend Developer,Low,Technical,Moderate,High,<1 hour,Occasionally,Advanced,"Git, Agile, Docker, JavaScript","AWS, Tableau","Cloud Computing, DevOps"
156,Test applications end-to-end,Data Scientist,Medium,Technical,Low,Low,Half-day,Daily,Intermediate,"TensorFlow, Agile",Slack,Web Development
157,Define product roadmaps,Frontend Developer,Low,Managerial,Moderate,Moderate,Full-day,Occasionally,Intermediate,"Agile, Python, React, TensorFlow, Docker","Jira, AWS, Slack","Cloud Computing, AI, Big Data"
158,Optimize algorithms,Backend Developer,Medium,Managerial,Low,Moderate,1-3 hours,Weekly,Advanced,"Agile, Python, JavaScript","Tableau, Postman","DevOps, AI"
159,Train and fine-tune models,Machine Learning Engineer,High,Managerial,High,Moderate,1-3 hours,Monthly,Advanced,"Node.js, React, Git",VS Code,Cloud Computing
160,Design wireframes and prototypes,Software Engineer,High,Managerial,Low,Low,Full-day,Daily,Intermediate,"SQL, Docker, TensorFlow","Postman, MongoDB, VS Code","Cloud Computing, AI"
161,Conduct user research,Frontend Developer,Medium,Creative,Moderate,Low,Half-day,Weekly,Beginner,"JavaScript, Docker, Git",Slack,"AI, Big Data"
162,Analyze and clean data,Machine Learning Engineer,High,Creative,High,Moderate,Full-day,Daily,Advanced,"Node.js, Agile, React, Python","AWS, MySQL","Cloud Computing, AI"
163,Train and fine-tune models,Full Stack Developer,Medium,Managerial,Low,Low,Full-day,Occasionally,Advanced,"Git, Agile","MySQL, VS Code","Big Data, DevOps, Web Development"
164,Define product roadmaps,Frontend Developer,Medium,Creative,Moderate,High,1-3 hours,Occasionally,Intermediate,"TensorFlow, Node.js, SQL","VS Code, Jira",Big Data
