id,task,job_role,complexity,task_type,creativity,human_interaction,time_taken,frequency,skill_level,Associated_Skills,Tools,Technologies,Job_Description,Automation_Risk,Tasks,Mapped_Skills,Creativity_Required,Risk_Label
14,Train and fine-tune models,Data Scientist,High,Creative,Low,Moderate,<1 hour,Occasionally,Beginner,"Agile, Git, SQL, Docker","Jira, Postman",Cloud Computing,"As a Data Scientist, your responsibilities include Train and fine-tune models. You'll utilize skills such as Agile, Git, SQL, Docker and work with tools like Jira, Postman. This role often involves technologies like Cloud Computing.",Low Risk,"['as a data scientist your responsibilities include train and finetune models', 'youll utilize skills such as agile git sql docker and work with tools like jira postman', 'this role often involves technologies like cloud computing']","['other', 'teamwork', 'other']",False,0
15,Define product roadmaps,Product Manager,Low,Managerial,Low,Low,1-3 hours,Occasionally,Intermediate,"Agile, React","AWS, MongoDB, MySQL",Big Data,"As a Product Manager, your responsibilities include Define product roadmaps. You'll utilize skills such as Agile, React and work with tools like AWS, MongoDB, MySQL. This role often involves technologies like Big Data.",Medium Risk,"['as a product manager your responsibilities include define product roadmaps', 'youll utilize skills such as agile react and work with tools like aws mongodb mysql', 'this role often involves technologies like big data']","['other', 'teamwork', 'other']",False,1
16,Write and debug code,Machine Learning Engineer,High,Technical,Moderate,Low,Half-day,Monthly,Beginner,"Agile, Docker, Python, TensorFlow, Git","MongoDB, Slack","Web Development, AI, DevOps","As a Machine Learning Engineer, your responsibilities include Write and debug code. You'll utilize skills such as Agile, Docker, Python, TensorFlow, Git and work with tools like MongoDB, Slack. This role often involves technologies like Web Development, AI, DevOps.",Medium Risk,"['as a machine learning engineer your responsibilities include write and debug code', 'youll utilize skills such as agile docker python tensorflow git and work with tools like mongodb slack', 'this role often involves technologies like web development ai devops']","['problem-solving, technical skills', 'teamwork', 'technical skills']",False,1
17,Write and execute test cases,Data Scientist,Low,Technical,Low,Low,Full-day,Occasionally,Advanced,"Python, JavaScript","MySQL, Tableau, AWS","Big Data, Cloud Computing","As a Data Scientist, your responsibilities include Write and execute test cases. You'll utilize skills such as Python, JavaScript and work with tools like MySQL, Tableau, AWS. This role often involves technologies like Big Data, Cloud Computing.",Medium Risk,"['as a data scientist your responsibilities include write and execute test cases', 'youll utilize skills such as python javascript and work with tools like mysql tableau aws', 'this role often involves technologies like big data cloud computing']","['other', 'teamwork', 'other']",False,1
18,Manage database operations,DevOps Engineer,Medium,Managerial,High,Moderate,<1 hour,Daily,Intermediate,"Docker, Python, Agile","VS Code, Slack, Tableau",AI,"As a DevOps Engineer, your responsibilities include Manage database operations. You'll utilize skills such as Docker, Python, Agile and work with tools like VS Code, Slack, Tableau. This role often involves technologies like AI.",Medium Risk,"['as a devops engineer your responsibilities include manage database operations', 'youll utilize skills such as docker python agile and work with tools like vs code slack tableau', 'this role often involves technologies like ai']","['other', 'teamwork, technical skills', 'other']",False,1
19,Design APIs,Full Stack Developer,Medium,Creative,High,Moderate,<1 hour,Monthly,Advanced,"SQL, Git, Agile, JavaScript",MongoDB,DevOps,"As a Full Stack Developer, your responsibilities include Design APIs. You'll utilize skills such as SQL, Git, Agile, JavaScript and work with tools like MongoDB. This role often involves technologies like DevOps.",Medium Risk,"['as a full stack developer your responsibilities include design apis', 'youll utilize skills such as sql git agile javascript and work with tools like mongodb', 'this role often involves technologies like devops']","['technical skills', 'teamwork', 'other']",True,1
20,Train and fine-tune models,QA Engineer,High,Managerial,Moderate,,Half-day,Weekly,Beginner,"Node.js, Python, JavaScript, React","Jira, VS Code, MySQL","Big Data, Web Development","As a QA Engineer, your responsibilities include Train and fine-tune models. You'll utilize skills such as Node.js, Python, JavaScript, React and work with tools like Jira, VS Code, MySQL. This role often involves technologies like Big Data, Web Development.",Medium Risk,"['as a qa engineer your responsibilities include train and finetune models', 'youll utilize skills such as node', 'js python javascript react and work with tools like jira vs code mysql', 'this role often involves technologies like big data web development']","['other', 'other', 'teamwork, technical skills', 'technical skills']",False,1
21,Develop user interfaces,Machine Learning Engineer,Medium,Creative,Low,High,Full-day,Daily,Beginner,"Git, Docker, Node.js, React","AWS, Postman, MySQL","Web Development, Cloud Computing, DevOps","As a Machine Learning Engineer, your responsibilities include Develop user interfaces. You'll utilize skills such as Git, Docker, Node.js, React and work with tools like AWS, Postman, MySQL. This role often involves technologies like Web Development, Cloud Computing, DevOps.",Medium Risk,"['as a machine learning engineer your responsibilities include develop user interfaces', 'youll utilize skills such as git docker node', 'js react and work with tools like aws postman mysql', 'this role often involves technologies like web development cloud computing devops']","['technical skills', 'other', 'teamwork', 'technical skills']",False,1
22,Train and fine-tune models,Backend Developer,High,Creative,Moderate,Moderate,Full-day,Weekly,Beginner,"JavaScript, Agile, TensorFlow, SQL, Python",Postman,"AI, DevOps, Big Data","As a Backend Developer, your responsibilities include Train and fine-tune models. You'll utilize skills such as JavaScript, Agile, TensorFlow, SQL, Python and work with tools like Postman. This role often involves technologies like AI, DevOps, Big Data.",Medium Risk,"['as a backend developer your responsibilities include train and finetune models', 'youll utilize skills such as javascript agile tensorflow sql python and work with tools like postman', 'this role often involves technologies like ai devops big data']","['technical skills', 'teamwork', 'other']",False,1
23,Perform code reviews,Machine Learning Engineer,Medium,Creative,Moderate,Moderate,<1 hour,Monthly,Intermediate,"JavaScript, Python, SQL, Git, Node.js",Slack,"Web Development, AI, Cloud Computing","As a Machine Learning Engineer, your responsibilities include Perform code reviews. You'll utilize skills such as JavaScript, Python, SQL, Git, Node.js and work with tools like Slack. This role often involves technologies like Web Development, AI, Cloud Computing.",Medium Risk,"['as a machine learning engineer your responsibilities include perform code reviews', 'youll utilize skills such as javascript python sql git node', 'js and work with tools like slack', 'this role often involves technologies like web development ai cloud computing']","['technical skills', 'other', 'teamwork', 'technical skills']",False,1
24,Automate infrastructure,DevOps Engineer,High,Managerial,Low,Moderate,1-3 hours,Daily,Advanced,"TensorFlow, Git, JavaScript, Agile",MySQL,DevOps,"As a DevOps Engineer, your responsibilities include Automate infrastructure. You'll utilize skills such as TensorFlow, Git, JavaScript, Agile and work with tools like MySQL. This role often involves technologies like DevOps.",Low Risk,"['as a devops engineer your responsibilities include automate infrastructure', 'youll utilize skills such as tensorflow git javascript agile and work with tools like mysql', 'this role often involves technologies like devops']","['other', 'teamwork', 'other']",False,0
25,Monitor system performance,Frontend Developer,Low,Managerial,High,Moderate,Full-day,Monthly,Beginner,"Docker, SQL, JavaScript, React, Agile","MongoDB, Postman","Cloud Computing, AI, Big Data","As a Frontend Developer, your responsibilities include Monitor system performance. You'll utilize skills such as Docker, SQL, JavaScript, React, Agile and work with tools like MongoDB, Postman. This role often involves technologies like Cloud Computing, AI, Big Data.",Low Risk,"['as a frontend developer your responsibilities include monitor system performance', 'youll utilize skills such as docker sql javascript react agile and work with tools like mongodb postman', 'this role often involves technologies like cloud computing ai big data']","['technical skills', 'teamwork', 'other']",False,0
26,Manage database operations,Data Scientist,Low,Managerial,Low,Moderate,Half-day,Monthly,Beginner,"Docker, Python","Jira, MySQL, Tableau","DevOps, AI, Big Data","As a Data Scientist, your responsibilities include Manage database operations. You'll utilize skills such as Docker, Python and work with tools like Jira, MySQL, Tableau. This role often involves technologies like DevOps, AI, Big Data.",Low Risk,"['as a data scientist your responsibilities include manage database operations', 'youll utilize skills such as docker python and work with tools like jira mysql tableau', 'this role often involves technologies like devops ai big data']","['other', 'teamwork', 'other']",False,0
27,Optimize algorithms,Data Scientist,High,Managerial,Moderate,,1-3 hours,Daily,Beginner,"Agile, JavaScript",MongoDB,"DevOps, AI, Big Data","As a Data Scientist, your responsibilities include Optimize algorithms. You'll utilize skills such as Agile, JavaScript and work with tools like MongoDB. This role often involves technologies like DevOps, AI, Big Data.",Low Risk,"['as a data scientist your responsibilities include optimize algorithms', 'youll utilize skills such as agile javascript and work with tools like mongodb', 'this role often involves technologies like devops ai big data']","['problem-solving', 'teamwork', 'other']",False,0
28,Optimize algorithms,Frontend Developer,Medium,Technical,High,High,<1 hour,Weekly,Beginner,"Node.js, Docker","Jira, Slack","DevOps, Big Data, Cloud Computing","As a Frontend Developer, your responsibilities include Optimize algorithms. You'll utilize skills such as Node.js, Docker and work with tools like Jira, Slack. This role often involves technologies like DevOps, Big Data, Cloud Computing.",Medium Risk,"['as a frontend developer your responsibilities include optimize algorithms', 'youll utilize skills such as node', 'js docker and work with tools like jira slack', 'this role often involves technologies like devops big data cloud computing']","['problem-solving, technical skills', 'other', 'teamwork', 'other']",False,1
29,Optimize algorithms,Full Stack Developer,Medium,Managerial,Low,Moderate,Full-day,Monthly,Intermediate,"Git, Python, Docker, Agile, React",MySQL,Web Development,"As a Full Stack Developer, your responsibilities include Optimize algorithms. You'll utilize skills such as Git, Python, Docker, Agile, React and work with tools like MySQL. This role often involves technologies like Web Development.",Medium Risk,"['as a full stack developer your responsibilities include optimize algorithms', 'youll utilize skills such as git python docker agile react and work with tools like mysql', 'this role often involves technologies like web development']","['problem-solving, technical skills', 'teamwork', 'technical skills']",False,1
30,Design APIs,Backend Developer,High,Creative,High,,1-3 hours,Weekly,Beginner,"JavaScript, Python","MongoDB, Tableau, AWS","Big Data, AI","As a Backend Developer, your responsibilities include Design APIs. You'll utilize skills such as JavaScript, Python and work with tools like MongoDB, Tableau, AWS. This role often involves technologies like Big Data, AI.",Medium Risk,"['as a backend developer your responsibilities include design apis', 'youll utilize skills such as javascript python and work with tools like mongodb tableau aws', 'this role often involves technologies like big data ai']","['technical skills', 'teamwork', 'other']",True,1
31,Write and execute test cases,Full Stack Developer,Medium,Managerial,High,,Half-day,Daily,Intermediate,"JavaScript, React, Node.js, TensorFlow, Agile","Postman, MongoDB, VS Code",Big Data,"As a Full Stack Developer, your responsibilities include Write and execute test cases. You'll utilize skills such as JavaScript, React, Node.js, TensorFlow, Agile and work with tools like Postman, MongoDB, VS Code. This role often involves technologies like Big Data.",Medium Risk,"['as a full stack developer your responsibilities include write and execute test cases', 'youll utilize skills such as javascript react node', 'js tensorflow agile and work with tools like postman mongodb vs code', 'this role often involves technologies like big data']","['technical skills', 'other', 'teamwork, technical skills', 'other']",False,1
32,Develop user interfaces,Machine Learning Engineer,High,Technical,Low,High,Full-day,Occasionally,Intermediate,"JavaScript, Agile, TensorFlow, React, Python","Tableau, AWS",Web Development,"As a Machine Learning Engineer, your responsibilities include Develop user interfaces. You'll utilize skills such as JavaScript, Agile, TensorFlow, React, Python and work with tools like Tableau, AWS. This role often involves technologies like Web Development.",Medium Risk,"['as a machine learning engineer your responsibilities include develop user interfaces', 'youll utilize skills such as javascript agile tensorflow react python and work with tools like tableau aws', 'this role often involves technologies like web development']","['technical skills', 'teamwork', 'technical skills']",False,1
33,Automate infrastructure,Product Manager,High,Technical,Moderate,,Half-day,Daily,Beginner,"JavaScript, Agile",VS Code,"Big Data, AI, DevOps","As a Product Manager, your responsibilities include Automate infrastructure. You'll utilize skills such as JavaScript, Agile and work with tools like VS Code. This role often involves technologies like Big Data, AI, DevOps.",Medium Risk,"['as a product manager your responsibilities include automate infrastructure', 'youll utilize skills such as javascript agile and work with tools like vs code', 'this role often involves technologies like big data ai devops']","['other', 'teamwork, technical skills', 'other']",False,1
34,Conduct user research,Software Engineer,Low,Technical,Low,Moderate,<1 hour,Weekly,Intermediate,"JavaScript, TensorFlow, SQL, React, Git","VS Code, Slack","Cloud Computing, Big Data, AI","As a Software Engineer, your responsibilities include Conduct user research. You'll utilize skills such as JavaScript, TensorFlow, SQL, React, Git and work with tools like VS Code, Slack. This role often involves technologies like Cloud Computing, Big Data, AI.",Medium Risk,"['as a software engineer your responsibilities include conduct user research', 'youll utilize skills such as javascript tensorflow sql react git and work with tools like vs code slack', 'this role often involves technologies like cloud computing big data ai']","['other', 'teamwork, technical skills', 'other']",False,1
35,Write and debug code,DevOps Engineer,High,Creative,Moderate,Moderate,<1 hour,Weekly,Intermediate,"Docker, React, Git, JavaScript","MySQL, Slack",AI,"As a DevOps Engineer, your responsibilities include Write and debug code. You'll utilize skills such as Docker, React, Git, JavaScript and work with tools like MySQL, Slack. This role often involves technologies like AI.",Medium Risk,"['as a devops engineer your responsibilities include write and debug code', 'youll utilize skills such as docker react git javascript and work with tools like mysql slack', 'this role often involves technologies like ai']","['problem-solving, technical skills', 'teamwork', 'other']",False,1
36,Monitor system performance,QA Engineer,Low,Creative,Moderate,Moderate,Half-day,Monthly,Beginner,"Agile, Node.js",AWS,AI,"As a QA Engineer, your responsibilities include Monitor system performance. You'll utilize skills such as Agile, Node.js and work with tools like AWS. This role often involves technologies like AI.",Low Risk,"['as a qa engineer your responsibilities include monitor system performance', 'youll utilize skills such as agile node', 'js and work with tools like aws', 'this role often involves technologies like ai']","['other', 'other', 'teamwork', 'other']",False,0
37,Optimize algorithms,DevOps Engineer,Medium,Technical,Moderate,Low,Full-day,Occasionally,Advanced,"SQL, Agile, Docker",Jira,"Web Development, Cloud Computing, AI","As a DevOps Engineer, your responsibilities include Optimize algorithms. You'll utilize skills such as SQL, Agile, Docker and work with tools like Jira. This role often involves technologies like Web Development, Cloud Computing, AI.",Medium Risk,"['as a devops engineer your responsibilities include optimize algorithms', 'youll utilize skills such as sql agile docker and work with tools like jira', 'this role often involves technologies like web development cloud computing ai']","['problem-solving', 'teamwork', 'technical skills']",False,1
38,Monitor system performance,Backend Developer,High,Managerial,Low,High,Full-day,Monthly,Beginner,"JavaScript, Python","Tableau, MongoDB","Web Development, DevOps, Big Data","As a Backend Developer, your responsibilities include Monitor system performance. You'll utilize skills such as JavaScript, Python and work with tools like Tableau, MongoDB. This role often involves technologies like Web Development, DevOps, Big Data.",Low Risk,"['as a backend developer your responsibilities include monitor system performance', 'youll utilize skills such as javascript python and work with tools like tableau mongodb', 'this role often involves technologies like web development devops big data']","['technical skills', 'teamwork', 'technical skills']",False,0
39,Write and debug code,Backend Developer,Low,Technical,Low,Low,<1 hour,Daily,Beginner,"Node.js, Python","Jira, Slack",DevOps,"As a Backend Developer, your responsibilities include Write and debug code. You'll utilize skills such as Node.js, Python and work with tools like Jira, Slack. This role often involves technologies like DevOps.",High Risk,"['as a backend developer your responsibilities include write and debug code', 'youll utilize skills such as node', 'js python and work with tools like jira slack', 'this role often involves technologies like devops']","['problem-solving, technical skills', 'other', 'teamwork', 'other']",False,2
40,Write and debug code,Full Stack Developer,Low,Managerial,High,High,Half-day,Monthly,Advanced,"JavaScript, Docker",Tableau,Cloud Computing,"As a Full Stack Developer, your responsibilities include Write and debug code. You'll utilize skills such as JavaScript, Docker and work with tools like Tableau. This role often involves technologies like Cloud Computing.",Low Risk,"['as a full stack developer your responsibilities include write and debug code', 'youll utilize skills such as javascript docker and work with tools like tableau', 'this role often involves technologies like cloud computing']","['problem-solving, technical skills', 'teamwork', 'other']",False,0
41,Develop user interfaces,UI/UX Designer,Medium,Technical,Moderate,Moderate,Half-day,Monthly,Advanced,"JavaScript, Git, Python, Docker","VS Code, AWS","DevOps, AI, Web Development","As a UI/UX Designer, your responsibilities include Develop user interfaces. You'll utilize skills such as JavaScript, Git, Python, Docker and work with tools like VS Code, AWS. This role often involves technologies like DevOps, AI, Web Development.",Medium Risk,"['as a uiux designer your responsibilities include develop user interfaces', 'youll utilize skills such as javascript git python docker and work with tools like vs code aws', 'this role often involves technologies like devops ai web development']","['technical skills', 'teamwork, technical skills', 'technical skills']",True,1
42,Design wireframes and prototypes,Backend Developer,High,Managerial,Moderate,Low,1-3 hours,Weekly,Beginner,"SQL, JavaScript, Git",MySQL,Big Data,"As a Backend Developer, your responsibilities include Design wireframes and prototypes. You'll utilize skills such as SQL, JavaScript, Git and work with tools like MySQL. This role often involves technologies like Big Data.",Medium Risk,"['as a backend developer your responsibilities include design wireframes and prototypes', 'youll utilize skills such as sql javascript git and work with tools like mysql', 'this role often involves technologies like big data']","['technical skills', 'teamwork', 'other']",True,1
43,Conduct user research,Machine Learning Engineer,Medium,Technical,Low,Moderate,<1 hour,Occasionally,Advanced,"JavaScript, TensorFlow, Agile","Tableau, MySQL","Cloud Computing, AI, Big Data","As a Machine Learning Engineer, your responsibilities include Conduct user research. You'll utilize skills such as JavaScript, TensorFlow, Agile and work with tools like Tableau, MySQL. This role often involves technologies like Cloud Computing, AI, Big Data.",Medium Risk,"['as a machine learning engineer your responsibilities include conduct user research', 'youll utilize skills such as javascript tensorflow agile and work with tools like tableau mysql', 'this role often involves technologies like cloud computing ai big data']","['other', 'teamwork', 'other']",False,1
44,Train and fine-tune models,Software Engineer,Medium,Managerial,Moderate,Moderate,<1 hour,Occasionally,Intermediate,"Agile, SQL",MySQL,AI,"As a Software Engineer, your responsibilities include Train and fine-tune models. You'll utilize skills such as Agile, SQL and work with tools like MySQL. This role often involves technologies like AI.",Medium Risk,"['as a software engineer your responsibilities include train and finetune models', 'youll utilize skills such as agile sql and work with tools like mysql', 'this role often involves technologies like ai']","['other', 'teamwork', 'other']",False,1
45,Write and debug code,Software Engineer,Medium,Creative,Low,,<1 hour,Occasionally,Advanced,"Agile, React, JavaScript, TensorFlow","Jira, VS Code, Slack",Cloud Computing,"As a Software Engineer, your responsibilities include Write and debug code. You'll utilize skills such as Agile, React, JavaScript, TensorFlow and work with tools like Jira, VS Code, Slack. This role often involves technologies like Cloud Computing.",Medium Risk,"['as a software engineer your responsibilities include write and debug code', 'youll utilize skills such as agile react javascript tensorflow and work with tools like jira vs code slack', 'this role often involves technologies like cloud computing']","['problem-solving, technical skills', 'teamwork, technical skills', 'other']",False,1
46,Monitor system performance,Frontend Developer,Medium,Technical,High,Low,1-3 hours,Monthly,Beginner,"Git, Python",Postman,Big Data,"As a Frontend Developer, your responsibilities include Monitor system performance. You'll utilize skills such as Git, Python and work with tools like Postman. This role often involves technologies like Big Data.",Medium Risk,"['as a frontend developer your responsibilities include monitor system performance', 'youll utilize skills such as git python and work with tools like postman', 'this role often involves technologies like big data']","['technical skills', 'teamwork', 'other']",False,1
47,Design APIs,DevOps Engineer,Low,Technical,Moderate,Moderate,<1 hour,Monthly,Beginner,"Git, JavaScript, React, TensorFlow","Slack, MySQL","Web Development, AI","As a DevOps Engineer, your responsibilities include Design APIs. You'll utilize skills such as Git, JavaScript, React, TensorFlow and work with tools like Slack, MySQL. This role often involves technologies like Web Development, AI.",Medium Risk,"['as a devops engineer your responsibilities include design apis', 'youll utilize skills such as git javascript react tensorflow and work with tools like slack mysql', 'this role often involves technologies like web development ai']","['technical skills', 'teamwork', 'technical skills']",True,1
48,Manage database operations,UI/UX Designer,High,Technical,Low,High,1-3 hours,Monthly,Intermediate,"React, Git, Node.js","VS Code, Tableau","Web Development, AI","As a UI/UX Designer, your responsibilities include Manage database operations. You'll utilize skills such as React, Git, Node.js and work with tools like VS Code, Tableau. This role often involves technologies like Web Development, AI.",Medium Risk,"['as a uiux designer your responsibilities include manage database operations', 'youll utilize skills such as react git node', 'js and work with tools like vs code tableau', 'this role often involves technologies like web development ai']","['technical skills', 'other', 'teamwork, technical skills', 'technical skills']",True,1
49,Perform code reviews,Frontend Developer,Low,Creative,Low,High,Half-day,Daily,Beginner,"Node.js, Docker","AWS, Jira, Tableau",DevOps,"As a Frontend Developer, your responsibilities include Perform code reviews. You'll utilize skills such as Node.js, Docker and work with tools like AWS, Jira, Tableau. This role often involves technologies like DevOps.",Low Risk,"['as a frontend developer your responsibilities include perform code reviews', 'youll utilize skills such as node', 'js docker and work with tools like aws jira tableau', 'this role often involves technologies like devops']","['technical skills', 'other', 'teamwork', 'other']",False,0
50,Write and execute test cases,UI/UX Designer,Low,Managerial,Low,Low,Half-day,Daily,Advanced,"Python, Docker, React, Agile, TensorFlow","Tableau, Jira","Big Data, Cloud Computing","As a UI/UX Designer, your responsibilities include Write and execute test cases. You'll utilize skills such as Python, Docker, React, Agile, TensorFlow and work with tools like Tableau, Jira. This role often involves technologies like Big Data, Cloud Computing.",Low Risk,"['as a uiux designer your responsibilities include write and execute test cases', 'youll utilize skills such as python docker react agile tensorflow and work with tools like tableau jira', 'this role often involves technologies like big data cloud computing']","['technical skills', 'teamwork', 'other']",True,0
