job_role,skill
Python Developer,"Python,Django,Flask,SQLAlchemy,Pandas"
C++ Developer,"C++', 'Data Structures',STL,Boost,Linux"
Java Developer,"Java,Spring,Hibernate,JPA,Maven"
React Developer,"React,JavaScript,Redux,Webpack,Node.js"
Vue.js Developer,"Vue.js,JavaScript,Vuex,Nuxt.js,Node.js"
Angular Developer,"Angular,TypeScript,RxJS,HTML,CSS"
C# Developer,"C#',ASP.NET,MVC,Entity Framework,LINQ"
Swift Developer,"Swift,Objective-C,iOS SDK,Xcode,Cocoa Touch"
Objective-C Developer,"Objective-C,iOS SDK,Cocoa,Xcode,Memory Management"
Go Developer,"Go,Concurrency,Golang,Go Routines,API Design"
Rust Developer,"Rust,Concurrency,Memory Safety,Cargo,WebAssembly"
Perl Developer,"Perl,CGI,Regular Expressions,DBI,Moose"
Scala Developer,"Scala,Play Framework,Spark,Functional Programming"
Kotlin Developer,"Kotlin,Android SDK,Jetpack,Coroutines,Firebase"
Android SDK Developer,"Java,Kotlin,Android SDK,Gradle,Firebase"
Web Designer,"HTML,CSS,Adobe Photoshop,Wireframing,UI/UX"
UI Designer,"UI Design,Sketch,Adobe XD,Prototyping,User Research"
UX Designer,"UX Design,Wireframing,Prototyping,User Research,User Testing"
SEO Specialist,"SEO,Google Analytics,Keyword Research,Content Strategy,Link Building"
Digital Marketing Specialist,"SEO,SEM,Google Ads,Social Media,Content Marketing"
Content Writer,"Content Writing,SEO,Copywriting,Blogging,Research"
Business Analyst,"Business Analysis,Agile,Jira,Data Analysis,Requirements Gathering"
Product Designer,"Product DesignUI/UX,Sketch,Prototyping,Wireframing"
DevOps Architect,"DevOps,CI/CD,Docker,Kubernetes,AWS"
Cloud Consultant,"AWS,Azure,Google Cloud,Cloud Architecture,Consulting"
IT Security Specialist,"Firewalls,Penetration Testing,Cryptography,Networking,Security Tools"
Penetration Tester,"Ethical Hacking,Vulnerability Assessment,Exploit Development,Metasploit,Wireshark"
Blockchain Architect,"Blockchain,Smart Contracts,Ethereum,Hyperledger,Cryptocurrency"
Data Engineer,"SQL,ETL,Data Pipelines,Big Data,Apache Hadoop"
Big Data Engineer,"Hadoop,Spark,Kafka,MapReduce,NoSQL"
Product Owner,"Agile,Scrum,Stakeholder Management,Product Roadmap,Jira"
Test Automation Engineer,"Automation,Selenium,JUnit,TestNG,CI/CD"
Build Engineer,"CI/CD,Automation,Jenkins,Maven,Docker"
Data Analyst,"SQL,Excel,Data Visualization,Power BI,Tableau"
Network Security Engineer,"Firewalls,VPN,Intrusion Detection,Security Protocols,Networking"
Cloud Security Engineer,"Cloud Security,AWS,Azure,Google Cloud,IAM"
Application Support Engineer,"Troubleshooting,SQL,Customer Support,Java,Unix"
Game Developer,"C#,Unity,Unreal Engine,Game Design,3D Modeling"
Embedded Systems Engineer,"C,C++,Embedded Linux,Microcontrollers,RTOS"
Blockchain Developer,"Blockchain,Ethereum,Smart Contracts,Solidity,Cryptography"
AI Engineer,"Python,Deep Learning,Natural Language Processing,TensorFlow,PyTorch"
AI Research Scientist,"Machine Learning,Deep Learning,NLP,Computer Vision,TensorFlow"
AI Data Analyst,"Data Analysis,Python,SQL,Big Data,Machine Learning"
AI Product Manager,"Product Strategy,AI Models,Business Development,AI Research,Machine Learning"
AI Architect,"Cloud Computing', 'AI Model Development', 'Big Data', 'Scalable Systems', 'AI Frameworks"
Robotics Engineer,"Robotics,C++,Python,Embedded Systems,ROS"
Computer Vision Engineer,"Computer Vision,OpenCV,Python,TensorFlow,Deep Learning"
Natural Language Processing (NLP) Engineer,"NLP,Python,Deep Learning,TensorFlow,SpaCy"
Reinforcement Learning Engineer,"Reinforcement Learning,Deep Learning,Python,TensorFlow,Gym"
AI Business Analyst,"Business Analysis,Data Science,Machine Learning,AI Strategy,AI Use Cases"
AI Software Engineer,"Python,Java,AI Development,Machine Learning,TensorFlow"
Machine Learning Researcher,"Machine Learning,Deep Learning,Python,Research,Statistics"
AI/ML Engineer,"Machine Learning,Python,TensorFlow,Scikit-learn,Keras"
AI Solutions Architect,"AI Solutions,Architecture,Cloud,Big Data,Machine Learning"
AI Developer,"AI Programming,Python,C++,TensorFlow,Keras"
AI Trainer,"Training Models,Deep Learning,TensorFlow,Data Annotation,AI Models"
AI Consultant,"AI Strategy,Consulting,Machine Learning,NLP,AI Use Cases"
AI Data Engineer,"Data Engineering,Python,SQL,ETL,Machine Learning"
AI Business Consultant,"AI Business Strategy,Market Research,Data Science,Machine Learning,AI Models"
AI Data Scientist,"Data Science,AI,Machine Learning,Deep Learning,Python"
AI Ethics Specialist,"AI Ethics,Data Privacy,Machine Learning,Ethical AI,AI Policy"
AI Operations Engineer,"AI Systems,Machine Learning,Automation,Python,Cloud Computing"
AI Deployment Engineer,"AI Model Deployment,Python,Cloud,Containerization,DevOps"
AI Application Engineer,"AI Applications,Machine Learning,Data Science,Python,Software Engineering"
AI Systems Architect,"System Design,AI,Machine Learning,Cloud,Big Data"
AI Test Engineer,"AI Testing,Automation,Machine Learning,Python,Selenium"
AI Data Analyst,"Data Analysis,AI,Machine Learning,SQL,Python"
AI Product Designer,"Product Design,AI,Machine Learning,Prototyping,User Research"
AI Research Engineer,"Research,Machine Learning,Deep Learning,NLP,Python"
AI Modeler,"Machine Learning,Deep Learning,TensorFlow,PyTorch,Data Modeling"
AI Software Architect,"Software Architecture,AI Systems,Machine Learning,Cloud Computing,Python"
AI Performance Engineer,"AI Optimization,Performance Tuning,Machine Learning,Cloud Computing,Python"
AI Trainer and Data Scientist,"Training AI Models,Data Science,Python,Machine Learning,Deep Learning"
AI Platform Engineer,"AI Platform,Machine Learning,Cloud Computing,Infrastructure,Python"
AI Integration Engineer,"Integration,Machine Learning,AI,Python,Cloud"
Junior Software Engineer,"Java,C++,Python,HTML,CSS,JavaScript,Git,Basic Data Structures,Algorithms,Object-Oriented Programming (OOP)"
Junior Frontend Developer,"HTML,CSS,JavaScript,React,Vue.js,Git,Basic Responsive Design,Version Control,Bootstrap"
Junior Backend Developer,"Node.js,Express,Python,Java,RESTful APIs,MySQL,PostgreSQL,Version Control,Database Design"
Junior Full Stack Developer,"JavaScript,HTML,CSS,React,Node.js,MongoDB,Express,RESTful APIs,Version Control"
Senior Software Engineer,"Java,C++,Python,Advanced Data Structures,Algorithms,System Design,Architecture Design,Microservices,Cloud Computing,CI/CD,Agile Development"
Senior Frontend Developer,"HTML,CSS,JavaScript,React,Vue.js,Angular,TypeScript,Responsive Web Design,Version Control,Performance Optimization"
Senior Backend Developer,"Node.js,Express,Java,Spring Boot,Python,Ruby on Rails,RESTful APIs,GraphQL,Microservices,Database Management,NoSQL Databases"
Senior Full Stack Developer,"JavaScript,React,Node.js,Angular,CSS,HTML,MongoDB,SQL Databases,Microservices,GraphQL,DevOps,Cloud Computing"
Senior DevOps Engineer,"AWS,Azure,Docker,Kubernetes,CI/CD,Terraform,Linux,Networking,Automation,Infrastructure as Code"
Senior Software Architect,"System Design,Architecture Patterns,Microservices,Cloud Computing,API Design,Security,Scalability,Performance Tuning,Leadership,Mentorship"
Intern Software Engineer,"Java,C++,Python,HTML,CSS,JavaScript,Git,Basic Data Structures,Algorithms,Object-Oriented Programming (OOP),Version Control,SQL,Problem Solving,Basic Web Development"
Intern Frontend Developer,"HTML,CSS,JavaScript,Basic React,Version Control (Git),Responsive Web Design,Basic CSS Frameworks (Bootstrap),UI/UX Basics,Cross-Browser Compatibility"
Intern Backend Developer,"Node.js,Express,Python,RESTful APIs,SQL,MongoDB,Basic Server-Side Development,Version Control (Git),Database Querying,Basic Authentication and Authorization"
Intern Full Stack Developer,"JavaScript,HTML,CSS,React,Node.js,Express,MongoDB,Basic RESTful API Development,Version Control (Git),Database Management"
Intern DevOps Engineer,"Linux,Git,Docker (Basic),CI/CD Basics,Cloud Platforms (AWS, Azure),Basic Networking,Scripting (Bash, Python),Version Control,Automation Tools"
Intern Software Tester,"Manual Testing,Test Case Design,Bug Reporting,Automation Basics (Selenium, Jest),Version Control (Git),Basic SQL,UI/UX Testing,Cross-Platform Testing"
Intern Database Engineer,"SQL,Basic Database Design,Relational Databases (MySQL, PostgreSQL),NoSQL (MongoDB),Version Control (Git),Data Modeling,Basic Query Optimization,Backup and Restore"
Machine Learning Engineer,"TensorFlow, Node.js, Python, SQL, React"
Backend Developer,"Git, TensorFlow, Node.js, React"
Software Engineer,"SQL, TensorFlow, Agile, Docker, JavaScript"
Product Manager,"Python, SQL"
Product Manager,"Docker, JavaScript, TensorFlow, SQL"
Full Stack Developer,"Agile, Docker, Git, TensorFlow"
Data Scientist,"React, Agile, SQL, Git, Python"
Data Scientist,"TensorFlow, React, Node.js"
QA Engineer,"TensorFlow, JavaScript, React, Git"
Software Engineer,"SQL, Agile, Node.js"
Machine Learning Engineer,"SQL, Agile"
Product Manager,"Docker, SQL"
Full Stack Developer,"React, Docker, Agile, SQL"
Data Scientist,"Agile, Git, SQL, Docker"
Product Manager,"Agile, React"
Machine Learning Engineer,"Agile, Docker, Python, TensorFlow, Git"
Data Scientist,"Python, JavaScript"
DevOps Engineer,"Docker, Python, Agile"
Full Stack Developer,"SQL, Git, Agile, JavaScript"
QA Engineer,"Node.js, Python, JavaScript, React"
Machine Learning Engineer,"Git, Docker, Node.js, React"
Backend Developer,"JavaScript, Agile, TensorFlow, SQL, Python"
Machine Learning Engineer,"JavaScript, Python, SQL, Git, Node.js"
DevOps Engineer,"TensorFlow, Git, JavaScript, Agile"
Frontend Developer,"Docker, SQL, JavaScript, React, Agile"
Data Scientist,"Docker, Python"
Data Scientist,"Agile, JavaScript"
Frontend Developer,"Node.js, Docker"
Full Stack Developer,"Git, Python, Docker, Agile, React"
Backend Developer,"JavaScript, Python"
Full Stack Developer,"JavaScript, React, Node.js, TensorFlow, Agile"
Machine Learning Engineer,"JavaScript, Agile, TensorFlow, React, Python"
Product Manager,"JavaScript, Agile"
Software Engineer,"JavaScript, TensorFlow, SQL, React, Git"
DevOps Engineer,"Docker, React, Git, JavaScript"
QA Engineer,"Agile, Node.js"
DevOps Engineer,"SQL, Agile, Docker"
Backend Developer,"JavaScript, Python"
Backend Developer,"Node.js, Python"
Full Stack Developer,"JavaScript, Docker"
UI/UX Designer,"JavaScript, Git, Python, Docker"
Backend Developer,"SQL, JavaScript, Git"
Machine Learning Engineer,"JavaScript, TensorFlow, Agile"
Software Engineer,"Agile, SQL"
Software Engineer,"Agile, React, JavaScript, TensorFlow"
Frontend Developer,"Git, Python"
DevOps Engineer,"Git, JavaScript, React, TensorFlow"
UI/UX Designer,"React, Git, Node.js"
Frontend Developer,"Node.js, Docker"
UI/UX Designer,"Python, Docker, React, Agile, TensorFlow"
QA Engineer,"Git, Node.js"
UI/UX Designer,"Git, JavaScript"
QA Engineer,"SQL, TensorFlow, Docker, React"
UI/UX Designer,"JavaScript, Node.js, Git"
Product Manager,"Python, SQL, Docker"
QA Engineer,"SQL, Python, TensorFlow, Node.js, Git"
Machine Learning Engineer,"Python, Docker"
UI/UX Designer,"Node.js, Python"
Data Scientist,"SQL, Node.js, Python, Git"
QA Engineer,"Node.js, React, TensorFlow"
Product Manager,"Node.js, Agile, Docker, SQL, Python"
QA Engineer,"Docker, Node.js, Git"
Full Stack Developer,"JavaScript, Node.js, Git, Python"
UI/UX Designer,"React, SQL, JavaScript"
QA Engineer,"Node.js, TensorFlow"
Backend Developer,"Docker, Agile, TensorFlow, React, Node.js"
Data Scientist,"JavaScript, Docker, React, Node.js, Agile"
Backend Developer,"JavaScript, Git"
UI/UX Designer,"SQL, Git"
QA Engineer,"JavaScript, Node.js, Git, TensorFlow, SQL"
Data Scientist,"Node.js, JavaScript, TensorFlow"
Backend Developer,"Docker, SQL, Node.js"
QA Engineer,"Git, Agile"
Software Engineer,"Agile, JavaScript, TensorFlow, SQL"
Machine Learning Engineer,"Docker, Node.js, JavaScript"
UI/UX Designer,"React, Python, Git, TensorFlow, Docker"
Backend Developer,"Python, Agile, Docker"
Machine Learning Engineer,"TensorFlow, SQL"
Data Scientist,"TensorFlow, SQL, Python"
Frontend Developer,"Docker, React"
Full Stack Developer,"Docker, JavaScript, Agile, Node.js, Git"
Frontend Developer,"Git, JavaScript, TensorFlow, Node.js"
Machine Learning Engineer,"Python, Agile"
Software Engineer,"Python, Agile, Docker"
UI/UX Designer,"Docker, JavaScript, Python, Git"
UI/UX Designer,"Agile, Git, JavaScript, Python"
QA Engineer,"TensorFlow, React, Git, JavaScript, Node.js"
Frontend Developer,"Node.js, Python, JavaScript"
Machine Learning Engineer,"Docker, JavaScript"
UI/UX Designer,"React, Python, Docker, JavaScript"
Software Engineer,"JavaScript, Docker, React, Python, Agile"
DevOps Engineer,"Agile, SQL, JavaScript, Docker"
Software Engineer,"TensorFlow, Node.js, Agile, JavaScript"
Data Scientist,"Python, Docker, JavaScript, Git"
QA Engineer,"SQL, Git, Docker"
Software Engineer,"Node.js, SQL"
DevOps Engineer,"JavaScript, Agile, Node.js"
Backend Developer,"Python, Docker, TensorFlow, React, Node.js"
Product Manager,"Git, SQL, TensorFlow, Docker"
QA Engineer,"SQL, Node.js, React"
Software Engineer,"Agile, TensorFlow"
Backend Developer,"Git, Docker, React"
Software Engineer,"Python, Git, TensorFlow, SQL"
Data Scientist,"JavaScript, React, Git, Python"
Backend Developer,"Git, TensorFlow"
UI/UX Designer,"Python, JavaScript, Git"
Frontend Developer,"SQL, React"
Full Stack Developer,"Git, TensorFlow, React, Node.js, Docker"
Software Engineer,"TensorFlow, Python, SQL"
Backend Developer,"Python, Node.js, Git, React, Docker"
Backend Developer,"React, Python"
DevOps Engineer,"SQL, TensorFlow, JavaScript, React, Docker"
DevOps Engineer,"SQL, JavaScript, Node.js, Agile, Python"
Machine Learning Engineer,"Git, Node.js, Python"
Backend Developer,"React, Git, JavaScript"
Product Manager,"SQL, React, Docker, Agile, Git"
Software Engineer,"React, JavaScript, SQL, Git, Docker"
Frontend Developer,"Docker, TensorFlow"
Frontend Developer,"Git, Docker, React, Agile, Python"
DevOps Engineer,"JavaScript, React, Docker"
UI/UX Designer,"JavaScript, Docker, React, Node.js"
Data Scientist,"TensorFlow, Docker, Python, Agile, SQL"
Software Engineer,"Git, JavaScript, Python, Node.js"
QA Engineer,"TensorFlow, JavaScript, Agile, SQL"
Machine Learning Engineer,"Node.js, SQL, JavaScript"
Full Stack Developer,"JavaScript, Docker, React"
Software Engineer,"TensorFlow, Agile"
Frontend Developer,"React, Git, Node.js, Python, Agile"
Backend Developer,"Node.js, SQL, React, JavaScript, Docker"
Machine Learning Engineer,"Node.js, Docker, JavaScript, Python"
Machine Learning Engineer,"React, Python, Node.js, Docker"
Full Stack Developer,"Node.js, Git, TensorFlow"
Machine Learning Engineer,"Python, Docker"
Full Stack Developer,"SQL, Python, Git, Docker, JavaScript"
Machine Learning Engineer,"Node.js, Docker"
Data Scientist,"Agile, SQL, TensorFlow"
Software Engineer,"JavaScript, TensorFlow, SQL"
Frontend Developer,"Git, Python, React"
Frontend Developer,"Python, TensorFlow, JavaScript, Agile, SQL"
Machine Learning Engineer,"Node.js, SQL, Agile, Git, React"
Frontend Developer,"TensorFlow, Docker, Agile, JavaScript, SQL"
Software Engineer,"Git, Docker, JavaScript"
Frontend Developer,"React, Agile, Node.js, Git, TensorFlow"
Data Scientist,"Agile, JavaScript, React, TensorFlow"
Frontend Developer,"Git, React"
Frontend Developer,"React, Git, Python"
Frontend Developer,"Node.js, Git"
Full Stack Developer,"Docker, TensorFlow, SQL, Python"
Data Scientist,"React, TensorFlow"
Data Scientist,"JavaScript, Git"
Data Scientist,"Agile, Python, Git, React"
Full Stack Developer,"JavaScript, React"
Data Scientist,"Agile, JavaScript, Git, TensorFlow, SQL"
Data Scientist,"Agile, Python"
Frontend Developer,"Git, Agile, Docker, JavaScript"
Data Scientist,"TensorFlow, Agile"
Frontend Developer,"Agile, Python, React, TensorFlow, Docker"
Backend Developer,"Agile, Python, JavaScript"
Machine Learning Engineer,"Node.js, React, Git"
Software Engineer,"SQL, Docker, TensorFlow"
Frontend Developer,"JavaScript, Docker, Git"
Machine Learning Engineer,"Node.js, Agile, React, Python"
Full Stack Developer,"Git, Agile"
Frontend Developer,"TensorFlow, Node.js, SQL"
Backend Developer,"Node.js, SQL"
Backend Developer,"JavaScript, Python, React, Agile"
Frontend Developer,"Python, Git"
Data Scientist,"Agile, Python, SQL, JavaScript"
DevOps Engineer,"Node.js, React"
QA Engineer,"TensorFlow, SQL, Docker"
Machine Learning Engineer,"TensorFlow, Agile"
DevOps Engineer,"Agile, SQL"
Software Engineer,"Node.js, Python"
QA Engineer,"JavaScript, Git, Node.js"
Full Stack Developer,"SQL, Agile, Git, JavaScript"
Software Engineer,"Node.js, TensorFlow, JavaScript"
Machine Learning Engineer,"TensorFlow, Node.js"
Full Stack Developer,"Node.js, Python"
Backend Developer,"Git, JavaScript, React, Docker, SQL"
Machine Learning Engineer,"TensorFlow, React, Python"
Backend Developer,"Node.js, TensorFlow, JavaScript, React"
Machine Learning Engineer,"TensorFlow, Python, Agile"
Frontend Developer,"Git, SQL, Agile, Python"
QA Engineer,"Docker, Python, Agile"
Product Manager,"Node.js, TensorFlow, Agile"
Frontend Developer,"React, Node.js"
Full Stack Developer,"SQL, TensorFlow, Node.js"
Data Scientist,"Python, Docker, SQL, Git"
Machine Learning Engineer,"Python, JavaScript"
Software Engineer,"TensorFlow, Python"
Backend Developer,"SQL, React, Python"
Backend Developer,"Node.js, Docker, Git, React"
QA Engineer,"Git, SQL, Agile, React, Docker"
Backend Developer,"SQL, Git, Agile, TensorFlow"
Product Manager,"React, Node.js, SQL"
Machine Learning Engineer,"SQL, Docker"
Machine Learning Engineer,"Docker, TensorFlow, SQL, Python"
QA Engineer,"JavaScript, Python"
Product Manager,"Docker, TensorFlow"
Software Engineer,"Agile, SQL, Python"
Frontend Developer,"React, Python, Git"
UI/UX Designer,"Docker, SQL, Python, Agile"
Frontend Developer,"TensorFlow, Python, Agile, Docker, SQL"
Software Engineer,"Node.js, SQL, Python"
Product Manager,"Agile, Docker, Python, React, Git"
DevOps Engineer,"Agile, Python, Node.js"
Full Stack Developer,"Agile, Node.js, Git, Python, SQL"
DevOps Engineer,"TensorFlow, SQL, Node.js, Agile, Git"
Machine Learning Engineer,"Node.js, Docker, React, TensorFlow"
Product Manager,"Node.js, Python, Git"
Full Stack Developer,"Git, TensorFlow, SQL, React, Docker"
UI/UX Designer,"TensorFlow, Docker, SQL"
Product Manager,"SQL, React, Git, Python"
UI/UX Designer,"Node.js, Agile, Git, React"
Product Manager,"Git, Node.js, Docker"
Data Scientist,"JavaScript, Node.js, React, Agile, TensorFlow"
Data Scientist,"Docker, Git"
Frontend Developer,"Docker, SQL, React"
DevOps Engineer,"Git, SQL, Node.js, Python, Agile"
Backend Developer,"TensorFlow, SQL, Agile, JavaScript, React"
Backend Developer,"JavaScript, Git, Node.js"
Data Scientist,"SQL, Agile, JavaScript, Node.js, Git"
Product Manager,"Agile, Docker, TensorFlow, SQL"
Full Stack Developer,"Git, React"
DevOps Engineer,"Git, Docker, TensorFlow"
Machine Learning Engineer,"TensorFlow, SQL, Node.js, Python"
UI/UX Designer,"TensorFlow, React, Git, Python, Node.js"
DevOps Engineer,"TensorFlow, Python, Agile, React"
Machine Learning Engineer,"Node.js, Python, Git, Agile, JavaScript"
Full Stack Developer,"React, Python"
Data Scientist,"Git, Agile, SQL, TensorFlow"
Software Engineer,"Agile, Python, React"
Backend Developer,"Docker, SQL, React, Git, TensorFlow"
Software Engineer,"Python, Docker, React, Git, TensorFlow"
Product Manager,"Docker, Git, Python, Node.js, Agile"
Software Engineer,"Node.js, Docker"
Machine Learning Engineer,"Node.js, Docker, Python, React"
QA Engineer,"Agile, SQL, Docker"
Backend Developer,"Agile, SQL, Docker, TensorFlow"
Software Engineer,"Docker, Python, React"
Product Manager,"TensorFlow, Docker, Python"
Machine Learning Engineer,"JavaScript, TensorFlow"
DevOps Engineer,"TensorFlow, Node.js, Docker"
DevOps Engineer,"Python, JavaScript, React"
Software Engineer,"Docker, Python, Git"
QA Engineer,"JavaScript, SQL, Git, React, Agile"
Software Engineer,"Python, JavaScript, SQL, Agile"
Backend Developer,"SQL, Git, Python, Agile, JavaScript"
Software Engineer,"Docker, JavaScript"
Backend Developer,"Git, Node.js"
Frontend Developer,"Git, Agile, JavaScript, Docker, TensorFlow"
Product Manager,"Agile, React, Docker, SQL, Node.js"
Full Stack Developer,"TensorFlow, React, JavaScript"
Machine Learning Engineer,"Docker, SQL"
Data Scientist,"Docker, React, JavaScript, Git, SQL"
DevOps Engineer,"SQL, Git"
UI/UX Designer,"Git, Agile, Docker"
DevOps Engineer,"Node.js, Git, React, SQL"
UI/UX Designer,"Node.js, Git, React"
Full Stack Developer,"TensorFlow, SQL, Docker, Python, Agile"
QA Engineer,"TensorFlow, React, JavaScript, SQL"
Product Manager,"Node.js, Docker, JavaScript"
Software Engineer,"Agile, React, TensorFlow"
Software Engineer,"React, JavaScript, Node.js, SQL"
Data Scientist,"Agile, Python"
Software Engineer,"Agile, TensorFlow"
DevOps Engineer,"React, Node.js, JavaScript, Git, Docker"
Full Stack Developer,"Python, TensorFlow, JavaScript, Docker, Node.js"
Software Engineer,"TensorFlow, Git, Python"
Data Scientist,"Node.js, SQL, React"
Data Scientist,"TensorFlow, SQL, Agile, Python, Git"
Frontend Developer,"JavaScript, Agile, SQL"
DevOps Engineer,"React, Python, SQL, JavaScript"
Product Manager,"Node.js, React"
Software Engineer,"JavaScript, SQL, Node.js"
Backend Developer,"React, Git, Agile, TensorFlow"
Full Stack Developer,"SQL, Docker, Git, TensorFlow"
Machine Learning Engineer,"React, Agile, JavaScript, Git, SQL"
Frontend Developer,"JavaScript, Git, React, Node.js"
DevOps Engineer,"JavaScript, Docker, Agile, Git, Python"
UI/UX Designer,"React, Python, SQL, Docker, TensorFlow"
Software Engineer,"SQL, Docker, JavaScript"
DevOps Engineer,"Agile, React, Node.js, Python, TensorFlow"
Data Scientist,"Agile, JavaScript"
UI/UX Designer,"React, JavaScript, TensorFlow"
Backend Developer,"React, SQL"
DevOps Engineer,"Agile, React, Python, JavaScript"
Software Engineer,"Agile, Docker, React, JavaScript"
Product Manager,"Docker, Agile, JavaScript"
Full Stack Developer,"React, Docker, Node.js, TensorFlow, SQL"
DevOps Engineer,"Node.js, JavaScript, React, Git"
Product Manager,"Python, Node.js, Docker, Agile, SQL"
Product Manager,"JavaScript, React, TensorFlow"
Software Engineer,"SQL, Python, Git, Node.js"
QA Engineer,"TensorFlow, React, Agile"
QA Engineer,"Node.js, Docker, React"
Product Manager,"Agile, TensorFlow, Node.js"
Software Engineer,"Docker, TensorFlow, React, Agile"
Frontend Developer,"Python, Node.js, JavaScript, Docker, Git"
QA Engineer,"React, Agile, Python"
Machine Learning Engineer,"SQL, Python, Git, TensorFlow"
Full Stack Developer,"Python, TensorFlow"
DevOps Engineer,"Git, Docker, React, TensorFlow, Python"
Full Stack Developer,"Git, JavaScript, TensorFlow"
Backend Developer,"SQL, Git, Python"
UI/UX Designer,"TensorFlow, Docker"
Backend Developer,"SQL, Docker, Python"
Backend Developer,"Git, Docker, Node.js, SQL"
Machine Learning Engineer,"Docker, TensorFlow, React, Node.js, Agile"
QA Engineer,"Agile, Docker, SQL, Git, JavaScript"
Product Manager,"Node.js, JavaScript"
QA Engineer,"Node.js, Git, Agile"
Frontend Developer,"Git, JavaScript, TensorFlow"
Product Manager,"Docker, Node.js, Python"
Machine Learning Engineer,"Python, SQL"
Data Scientist,"JavaScript, Docker, SQL"
Full Stack Developer,"Python, TensorFlow"
UI/UX Designer,"Docker, JavaScript, React, TensorFlow"
QA Engineer,"Python, JavaScript, React"
Frontend Developer,"JavaScript, Agile, Git, React, Node.js"
Software Engineer,"SQL, Agile"
UI/UX Designer,"JavaScript, Agile, React"
QA Engineer,"Git, TensorFlow, Agile, JavaScript, React"
Product Manager,"Node.js, SQL"
UI/UX Designer,"SQL, Git, JavaScript"
UI/UX Designer,"React, Agile, Node.js, TensorFlow"
Data Scientist,"Node.js, Git, JavaScript, Agile, React"
DevOps Engineer,"Git, React, TensorFlow, JavaScript"
Full Stack Developer,"React, Docker, Agile, Git, Python"
Machine Learning Engineer,"Agile, Python"
Software Engineer,"TensorFlow, Python, React"
Data Scientist,"JavaScript, TensorFlow, Agile"
UI/UX Designer,"Docker, Node.js, Git"
Product Manager,"Python, Agile, Docker, JavaScript, SQL"
Frontend Developer,"SQL, React, TensorFlow, Python, Node.js"
Machine Learning Engineer,"Git, Docker, Node.js"
UI/UX Designer,"Docker, React"
Frontend Developer,"Python, React, SQL, JavaScript, Node.js"
Product Manager,"JavaScript, React, TensorFlow, Docker"
Product Manager,"Docker, SQL"
Data Scientist,"Git, Agile, Node.js"
Software Engineer,"TensorFlow, Docker, Node.js, Git, JavaScript"
Software Engineer,"Python, TensorFlow, Agile, React, Docker"
Full Stack Developer,"React, Docker, Node.js"
Software Engineer,"Docker, Python"
